id,bill_id,abstract,note
48a027d2-b975-4d3e-817d-2490efcb5b0a,ocd-bill/495de466-eeb5-4a78-98d1-963290ca8645,"By Ms. Donoghue, a petition (accompanied by bill, Senate, No. 519) of Eileen M. Donoghue for legislation to promote emerging financial technologies.  Financial Services.  ",summary
e1b982f1-447c-41da-a5c9-dffaff78cb71,ocd-bill/599fd050-ef2e-4b6a-9e8b-d6035e957a3b,"So much of the recommendations of the Department of the State Treasurer (House, No. 23) as relates to surety bonds.  Financial Services.",summary
6a1c9008-b3e1-4c17-8027-a66ad672207d,ocd-bill/d810ab11-9acd-4e67-a3b1-920d343145f3,"By Mr. Lawn of Watertown, a petition (accompanied by bill, House, No. 3247) of John J. Lawn, Jr., and others relative to further regulating the practice of acupuncture.  Public Health.  ",summary
a99108c5-80f3-4ee7-a653-d7ecd85e009c,ocd-bill/24cb0ad7-0636-4182-a610-46cb99a48140,"Section 38 contained in the engrossed Bill making appropriations for the fiscal year 2019 (see House, No. 4800), which had been returned by His Excellency the Governor with recommendation of amendment (for message, see Attachment D of House, No. 4833). July 27, 2018.",summary
2ec1c2f1-4e65-49fb-9b0c-70843c133670,ocd-bill/b07ab0c2-c711-4bbd-9d3f-048b0fa5855a,"By Messrs. Frost of Auburn and Zlotnik of Gardner, a petition (accompanied by bill, House, No. 1159) of Paul K. Frost for legislation to prohibit local boards of health from banning the sale of consumer products sold legally in the Commonwealth.  Public Health.  ",summary
b7505124-c5c4-4bd2-99c0-ac674fb21c57,ocd-bill/0e7cb314-4c6e-4c84-ae04-39d0bfd17216,Order relative to authorizing the committee on Public Service to make an investigation and study of a certain House document concerning public service ,summary
cbe1643c-9e2b-4ce4-a6a1-a49052d9b1b4,ocd-bill/0fe151c7-0e10-4937-997c-b87051896e47,"By Mrs. Haddad of Somerset, a petition (subject to Joint Rule 12) of Patricia A. Haddad and others relative to the disclosure of customer proprietary information by internet service providers.  Telecommunications, Utilities and Energy.  ",summary
60651017-2d6e-4e57-87e7-5a90082dd402,ocd-bill/ec1b2b3e-d387-46a4-92c2-9ffab38235c2,"By Mr. Moore, a petition (accompanied by bill, Senate, No. 564) of Michael O. Moore and Anne M. Gobi for legislation relative to non-payment of insurance premiums from escrowed funds by lending institutions.  Financial Services.  ",summary
da4fe5fc-a9d8-4e9c-af15-f06d4c482a29,ocd-bill/edbd0384-9955-4231-b6e3-05943e40f104,"By Mr. O'Connor, a petition (accompanied by bill, Senate, No.              ) (subject to Joint Rule 12) of Patrick M. O'Connor for legislation relative to the scheduling of employees.  Labor and Workforce Development.  ",summary
f4f9e2cc-7037-4a69-b765-58eba25418e2,ocd-bill/57b4132e-4950-40f5-96ca-90e4aa5a7cd5,"By Representative Frost of Auburn and Senator Moore, a joint petition (accompanied by bill, House, No. 1101) of Paul K. Frost and Michael O. Moore (by vote of the town) for legislation to determine the membership of the Millbury Redevelopment Authority.  Municipalities and Regional Government.  [Local Approval Received.]",summary
5616d8f4-ccce-470a-8ecd-f3f9378e429b,ocd-bill/93e6fc87-7ff1-4e51-99c8-2f68c3c101c1,"Senate, November 22, 2017 -- Message from His Excellency the Governor recommending legislation relative to the admissibility of evidence in a prosecution for operating under the influence",summary
73490224-7c1e-44ed-b0c4-d314ed0d46fd,ocd-bill/09e277a0-874c-4baf-99cc-c2a34ab740c5,"By Ms. Barber of Somerville (by request), a petition (accompanied by bill, House, No. 3203) of Danielle Thompson relative to patient centered access to behavioral health services in accountable care organizations.  Mental Health, Substance Use and Recovery.  ",summary
d128c470-de32-48d3-afd6-b450b80ebb43,ocd-bill/ffcfa4d3-e112-420a-865e-2df96fb0c6d8,"By Ms. O'Connor Ives, a petition (accompanied by bill, Senate, No. 569) of Kathleen O'Connor Ives for legislation relative to prescription drug voice synthesizers.  Financial Services.  ",summary
1d79d0ed-99ca-40ba-89b4-aaae5926c62e,ocd-bill/5cd4e3b9-0300-4db3-9631-b754e3421f2b,"Senate, March 19, 2018 --Text of the Senate amendment (Senator Hinds) to the House Bill authorizing the town of Charlemont to establish a tax on commercial recreation services (House, No. 2623).",summary
f2f9f701-416f-4d59-a900-334db31d313d,ocd-bill/1928dd0d-5785-433f-ba6a-42fdfa3fa2f7,"By Mr. Timilty, a petition (accompanied by bill, Senate, No. 2002) of James E. Timilty, Kathleen O'Connor Ives and Michael O. Moore for legislation relative to penalties for operation of motor vehicles after unlawful removal of an ignition interlock device.  Transportation.  ",summary
03e61442-63c5-40f4-9631-0ba47a57bb8a,ocd-bill/43b5377a-9f44-4abd-8082-dae94efa1e07,"By Mr. Sánchez of Boston, a petition (accompanied by bill, House, No. 1627) of Jeffrey Sánchez, Patricia A. Haddad and Natalie Higgins relative to the Brownfields tax credit.  Revenue.  ",summary
cdcf64db-14c3-4a79-9720-8740b35d95a9,ocd-bill/7c962807-cd1e-4c7f-bc30-be82ec707ff5,"By Mr. Vieira of Falmouth, a petition (accompanied by bill, House, No. 2760) of David T. Vieira and Timothy R. Whelan relative to motor vehicle registration and display of lights on vehicles owned by certain native Americans.  Transportation.  ",summary
b6406807-aac9-43fc-93a4-22792a7ce216,ocd-bill/357f33f8-03ad-447a-b12c-7bbe6f8d47ef,"Senate, June 29, 2017 -- The committee on Transportation to whom was referred the petitions (accompanied by bill, Senate, No. 1968) of Kathleen O'Connor Ives and Linda Dean Campbell for legislation relative to school bus safety; and (accompanied by bill, Senate, No. 1972) of Marc R. Pacheco and Daniel J. Hunt for legislation relative to the safety of school children embarking and disembarking school buses,- reports the accompanying bill (Senate, No. 2100)",summary
c80891ec-2881-4877-8e19-0a7eb4d90caf,ocd-bill/e46aedfe-d04d-4a7c-97a7-02d92cd75731,"By Mr. Chan of Quincy, a petition (accompanied by bill, House, No. 3039) of Tackey Chan relative to organized retail crime by 6 or more persons.  The Judiciary.  ",summary
749e5d12-b3d3-4950-ab43-c37f290527dd,ocd-bill/98e859fe-7183-43e0-847d-9ee928dfb417,"By Ms. Keefe of Worcester, a petition (accompanied by bill, House, No. 3076) of Mary S. Keefe and Daniel M. Donahue relative to penalties for public contractors who have been debarred.  The Judiciary.  ",summary
f8fc8445-b0fc-4b8b-afc7-941bcbf844f6,ocd-bill/51c645b0-cb40-4526-9edf-ffb807584d8d," The committee of conference on the disagreeing votes of the two branches with reference to the Senate amendment of the House Bill to increase renewable energy and reduce high-cost peak hours (House, No. 4756), reports recommending passage of the accompanying Bill to advance clean energy (House, No. 4857). ",summary
ed4ab4de-12aa-49b3-9863-58a49961c817,ocd-bill/7d3a01a9-d4aa-42af-bfdd-a413c0e67fc0,"By Mr. Brodeur of Melrose, a petition (accompanied by bill, House, No. 3028) of Paul Brodeur and others relative to providing protection from child enticement.  The Judiciary.  ",summary
4d238c77-33d6-4ccd-9cf9-bf60e608a87f,ocd-bill/042109e4-ded6-48db-8457-170b7aeee3fb,"By Mr. Holmes of Boston, a petition (accompanied by bill, House, No. 3521) of Russell E. Holmes and others for legislation to further regulate civil service exams.  Public Service.  ",summary
989a81f2-135a-45d8-a189-9b4d1e3feef2,ocd-bill/edb8fa65-c542-434d-8518-d9464470ede8,"By Ms. Hogan of Stow, a petition (accompanied by bill, House, No. 3426) of Kate Hogan and Keiko M. Orrall relative to aviation vegetation management plans.  Transportation.  ",summary
29932713-865e-4371-beaa-4ed84d0f2fcc,ocd-bill/a6f948a3-481a-407a-8216-cb9db41dac9d,"By Ms. Gobi, a petition (accompanied by bill, Senate, No. 1136) of Anne M. Gobi and Susannah M. Whipps (by vote of the town) for legislation to validate actions taken by the town of Templeton at the special town meeting held on November 9, 2015.  Municipalities and Regional Government.  [Local Approval Received.]",summary
