id,bill_id,note,date,classification,extras
227760dc-8dcb-4c19-a760-118d35bc3f05,ocd-bill/596688e2-471e-406d-b674-b97293335022,Bill Text,,,{}
5e9fbdbd-d596-4e34-88a0-587500d98373,ocd-bill/659052f4-5651-487c-848c-a425a0831f2c,Bill Text,,,{}
96895e15-9f47-4a22-83b0-1ed9c0e73c60,ocd-bill/214d006a-1b88-4d45-b95b-2b7c7be4fe50,Bill Text,,,{}
40b0ad89-7cc1-443e-a2b1-52ac7b8d5f46,ocd-bill/a7399e94-c505-4fe7-b733-398aca0f36d1,Bill Text,,,{}
806b4b78-0dd0-4062-ae2a-ef1e96209899,ocd-bill/b03bf21b-d4f5-43f6-b232-9f5ecafe840c,Bill Text,,,{}
480d8a78-fb62-4e5b-b515-927e139e0fa6,ocd-bill/6210a4f8-21ef-4dc2-a2fa-2c432d2fc91f,Bill Text,,,{}
7a72af79-886c-4b94-b09e-e0a9bf5a4739,ocd-bill/809ba0bf-4bea-4aaa-98cc-f05299d4c124,Bill Text,,,{}
03215549-14ca-4dc3-ac04-1a9d05ec8ab2,ocd-bill/50d2496c-1f81-4cf6-956f-c2b866499497,Bill Text,,,{}
88105005-303a-4c8b-87b4-80ad105e33dd,ocd-bill/3f3504f6-cea2-44e7-b7f8-32fd9fb9ea6e,Bill Text,,,{}
f457842b-6b9f-4d1a-87e9-9634646aaaf5,ocd-bill/3156d743-26e1-4f00-b343-277a5bd0e2b4,Bill Text,,,{}
6a7e08cb-5a78-4888-91b4-9006f0c26252,ocd-bill/46418a4c-35d1-4b6d-9376-c36bcf6da46b,Bill Text,,,{}
826472a2-0a8e-4159-a75d-904c543b6181,ocd-bill/ac0f411a-d1bf-4fa3-8f9d-3b073e48bb7a,Bill Text,,,{}
2044fa2b-0a6d-4b73-9417-26c5a56518c1,ocd-bill/fdba22e1-186c-488a-b057-6ae93e66bac1,Bill Text,,,{}
892a5286-5413-46b5-9220-bfbf993e02f5,ocd-bill/eb9bb43d-8eca-47c6-bc3d-ed37e7c51531,Bill Text,,,{}
5c625b2e-ee4f-419e-b933-f001179e557f,ocd-bill/f16eb8d3-a664-4a56-8a7b-80cb991c62ac,Bill Text,,,{}
98525d67-5247-4077-9902-dd62b9607d73,ocd-bill/a115d1c1-2b85-492e-bd39-940641e3477e,Bill Text,,,{}
1f70dded-2672-4018-9225-47661d76de68,ocd-bill/926b4d08-be4d-4cea-936d-3ef8f7adba5c,Bill Text,,,{}
05b1788f-6a29-480a-bc72-b5c570a20874,ocd-bill/627801c8-628a-4984-b8f8-aca6b0932867,Bill Text,,,{}
d7dc7a0e-8382-421a-a514-7419e6f23f9d,ocd-bill/df5770df-9c14-4cf8-b003-57099c9fd7bd,Bill Text,,,{}
cced8430-e52f-49b2-8e0b-527f94f0e138,ocd-bill/d540297d-fbbf-475d-9673-ee65a167ca59,Bill Text,,,{}
56086ae8-e01f-4ec1-9746-672288b48945,ocd-bill/fd5e727e-bd0b-4c79-94f8-28ec8ddee4fe,Bill Text,,,{}
cbb32a7c-4bdc-4f13-9cc9-75bb3e953de4,ocd-bill/bd5d2ea0-9715-4e17-b158-c9aca9ba18dc,Bill Text,,,{}
4391ee2f-10cd-49e6-b628-256f1b55a598,ocd-bill/6c81c602-cd8f-4877-98b8-d493cc759dd2,Bill Text,,,{}
70b78d64-4c44-43fd-ac8a-7bf3ee23b011,ocd-bill/aed19660-fc94-433a-924a-6a6b26b7f2bf,Bill Text,,,{}
33f880b0-9b38-4be5-a18b-8234cdf5e101,ocd-bill/cffe0a7d-8484-4353-bb72-f6ff26958cc1,Bill Text,,,{}
32529112-3f3c-4f3f-b46d-9b5ac029c56f,ocd-bill/331cde2e-f2b4-4e95-9c6d-5207b1f10ce3,Bill Text,,,{}
a062d592-1124-47d1-8050-413878f5d107,ocd-bill/87cf7c1f-4a66-413f-97c7-b54b0f032d51,Bill Text,,,{}
fb5fb2cf-da98-4f5b-b554-37ed4947751e,ocd-bill/cf046ccd-5908-4348-972c-972d74eca1ee,Bill Text,,,{}
bb6d70b0-069a-45a4-b8bd-7b6fb4f3c986,ocd-bill/8552445c-ca29-420e-aa95-ffc9e74af3ea,Bill Text,,,{}
94117e5c-602b-45df-a98a-03a26b52287b,ocd-bill/6bbbe234-56ed-467c-9691-b7193675e252,Bill Text,,,{}
217d1034-38f3-4d95-94aa-20c92868a327,ocd-bill/b66f5667-11fb-43f4-9002-9ed0f6759735,Bill Text,,,{}
6d6a48de-9d18-441c-b9b4-fb871363efbb,ocd-bill/efe0a0f9-61be-43ae-a8e9-4ce62f52d7e1,Bill Text,,,{}
b9662989-b8cc-41bd-b6e9-43b5f6be5492,ocd-bill/590bf746-ce37-40f9-8603-dcaf61d426b8,Bill Text,,,{}
2d656aac-fb02-42fd-90a0-3c97065a81e2,ocd-bill/33528dee-01de-4661-8b67-c020b7d00b57,Bill Text,,,{}
