id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/495de466-eeb5-4a78-98d1-963290ca8645,S 519,An Act promoting emerging financial technologies,['bill'],[],190th,Massachusetts,upper
ocd-bill/599fd050-ef2e-4b6a-9e8b-d6035e957a3b,H 39,An Act relative to surety bonds,['bill'],[],190th,Massachusetts,lower
ocd-bill/d810ab11-9acd-4e67-a3b1-920d343145f3,H 3247,An Act relative to the safe treatment of pain,['bill'],[],190th,Massachusetts,lower
ocd-bill/24cb0ad7-0636-4182-a610-46cb99a48140,H 4822,An Act relative to the cremation of certain unclaimed bodies,['bill'],[],190th,Massachusetts,lower
ocd-bill/b07ab0c2-c711-4bbd-9d3f-048b0fa5855a,H 1159,An Act relative to local boards of health and the sale of legal consumer products in the Commonwealth,['bill'],[],190th,Massachusetts,lower
ocd-bill/0fe151c7-0e10-4937-997c-b87051896e47,H 3698,An Act relative to internet privacy,['bill'],[],190th,Massachusetts,lower
ocd-bill/0e7cb314-4c6e-4c84-ae04-39d0bfd17216,H 4789,Public Service Study Order,['bill'],[],190th,Massachusetts,lower
ocd-bill/57b4132e-4950-40f5-96ca-90e4aa5a7cd5,H 1101,An Act relative to the membership of the Millbury Redevelopment Authority,['bill'],[],190th,Massachusetts,lower
ocd-bill/ec1b2b3e-d387-46a4-92c2-9ffab38235c2,S 564,An Act relative to non-payment of insurance premiums from escrowed funds by lending institutions,['bill'],[],190th,Massachusetts,upper
ocd-bill/af5deca3-d0cc-4d9d-b2b3-5ef06a44e8d7,H 4012,An Act implementing the joint recommendations of the Massachusetts criminal justice review,['bill'],[],190th,Massachusetts,lower
ocd-bill/edbd0384-9955-4231-b6e3-05943e40f104,S 2208,An Act relative to the scheduling of employees,['bill'],[],190th,Massachusetts,upper
ocd-bill/93e6fc87-7ff1-4e51-99c8-2f68c3c101c1,S 2218,An Act relative to the admissibility of evidence in a prosecution for operating under the influence,['bill'],[],190th,Massachusetts,upper
ocd-bill/09e277a0-874c-4baf-99cc-c2a34ab740c5,H 3203,An Act relative to patient centered access to behavioral health services in accountable care organizations,['bill'],[],190th,Massachusetts,lower
ocd-bill/ffcfa4d3-e112-420a-865e-2df96fb0c6d8,S 569,An Act relative to prescription drug voice synthesizers,['bill'],[],190th,Massachusetts,upper
ocd-bill/7c962807-cd1e-4c7f-bc30-be82ec707ff5,H 2760,An Act relative to motor vehicle registration and display of lights on vehicles,['bill'],[],190th,Massachusetts,lower
ocd-bill/ea9f78b6-b0dc-4228-b613-db0c95bad65c,H 4314,"An Act regulating and insuring short-term rentals
",['bill'],[],190th,Massachusetts,lower
