id,bill_id,abstract,note
ff60a9a2-28ed-4a6c-bda5-fbb9e963c12d,ocd-bill/48aaa02e-72e1-4c73-bb29-55d1761167ec,"By Mr. Moran of Boston, a petition (subject to Joint Rule 12) of Michael J. Moran and others relative to au pairs and host families.  Labor and Workforce Development.",summary
e21ab5c6-a583-4ad1-9ede-703cb424ad82,ocd-bill/8c74e16a-6522-47cf-a0a9-40b1f4eb57fe,"By Mr. Moran of Boston, a petition (subject to Joint Rule 12) of Michael J. Moran and others for an investigation and study by a special commission (including members of the General Court) relative to the au pair exchange visitor program.  Labor and Workforce Development.",summary
c541057f-d234-47e0-9428-aa6df97d7b0f,ocd-bill/ac77a72d-984f-4c3c-8954-1ab24030ed3d,"By Mr. Hawkins of Attleboro, a petition (subject to Joint Rule 12) of James K. Hawkins (with the approval of the mayor and municipal council) that the city of Attleboro be authorized to regulate rent and evictions in mobile home park accommodations in said city.  Housing.",summary
282df21d-7099-4417-b771-324e167d8f37,ocd-bill/bae468f8-c353-4f47-835f-c248fea751dc,"By Representative Gordon of Bedford and Senator Tarr, a joint petition (subject to Joint Rule 12) of Kenneth I. Gordon, Bruce E. Tarr and others relative to certain retirement benefits for Thomas W. Devlin, a trooper of the Department of State Police.  Public Service.",summary
022c3ef0-a4b8-4a16-8bd1-be7201dbcf2c,ocd-bill/fe56e163-e58b-4279-a1ae-7aa6790f9502,"By Mr. Mark of Peru, a petition (subject to Joint Rule 12) of Paul W. Mark relative to the salary of educators of school aged children incarcerated in county houses of correction or institutions under the control of the departments of mental health, developmental services, public health or youth services.  Public Service.",summary
734d0816-ad0c-4ef9-a80d-68ebfe5aa2a3,ocd-bill/920b1bca-71b5-4b4b-9b58-22de4a193b0c,"Senate, March 12, 2020 -- The committee on Education, to whom was referred the petitions (accompanied by bill, Senate, No. 247) of Joanne M. Comerford, Tami L. Gouveia, Jack Patrick Lewis, Denise Provost and other members of the General Court  for legislation to prohibit  the use of Native American mascots by public schools in the Commonwealth; and (accompanied by bill, House, No. 443) of Nika C. Elugardo, Tami L. Gouveia and others  relative to prohibiting the use of Native American mascots by public schools in the Commonwealth, report the accompanying Order (Senate, No. 2593).",summary
0ea5d7b0-4974-47b6-b12f-0f13bd8acba6,ocd-bill/ff636796-9dd0-46c0-8679-36e623e1a069,"Senate, March 12, 2020 -- The committee on Consumer Protection and Professional Licensure, to whom was referred the petitions (accompanied by bill, Senate, No. 175) of Patrick M. O'Connor, Jason M. Lewis, James T. Welch, Marc R. Pacheco and other members of the General Court for legislation to ban the retail sale of cats and dogs in pet shops; (accompanied by bill, House, No.800) (accompanied by bill, House, No. 800) of Natalie M. Higgins and others for legislation to further regulate the sale of certain domestic animals; and (accompanied by bill, House, No. 3828) of Bruce J. Ayers and Thomas M. Stanley relative to the sale of dogs, cats and rabbits in pet shops, report the accompanying Order (Senate, No. 2592).",summary
7e90a4e4-7be7-4bff-9e3c-3896b637f440,ocd-bill/4b95b7a0-afb8-4414-a466-1eeffc8d6aa5,"Senate, March 12, 2020 -- The committee on the Judiciary, to whom was referred the petitions (accompanied by bill, Senate, No. 995) of Mark C. Montigny, Joanne M. Comerford, José F. Tosado, Maria Duaime Robinson and other members of the General Court for legislation to promote safety for victims of violent crime and human trafficking; and (accompanied by bill, House, No. 3414) of Tram T. Nguyen, Patricia A. Haddad and others for legislation to promote safety for victims of violent crime and human trafficking,- reports the accompanying bill (Senate, No. 2493).",summary
86479fc6-515f-4c0e-a459-a7823edb65a5,ocd-bill/56432233-ca21-4fcb-8724-712401a50e0c,"Senate, March 12, 2020 -- The committee on the Judiciary, to whom was referred the petitions (accompanied by bill, Senate, No. 1012) of Rebecca L. Rausch, Anne M. Gobi, Mike Connolly, Adam G. Hinds and other members of the General Court for legislation to make discrimination on the basis of height and weight unlawful; and (accompanied by bill, House, No. 3413) of Tram T. Nguyen and others relative to prohibiting discrimination on the basis of height and weight,- reports the accompanying bill (Senate, No. 2495).",summary
c09ca59e-2572-4381-a3c1-1b6d11f57ba9,ocd-bill/3dc9fcf4-7c4c-4d20-8109-b983a1b905b2,"By Messrs. McMurtry of Dedham and Donato of Medford, a petition (subject to Joint Rule 12) of Paul McMurtry, Paul J. Donato and others relative to room and board costs for au pairs under certain provisions of the domestic workers rights law.  Labor and Workforce Development.",summary
c528f7ff-4cc4-4073-b075-2b25ca98ee2d,ocd-bill/62812c40-6028-4531-be27-61ad62cc4d4d,"By Representative McKenna of Webster and Senator Fattman, a joint petition (subject to Joint Rule 12) of Joseph D. McKenna, Ryan C. Fattman and others relative to employment protections for domestic violence victims.  Labor and Workforce Development.",summary
964dc955-3faf-4a79-805b-97cde2b9b38b,ocd-bill/b02e8ac1-b323-4a06-a23c-0fd4b63cf1e9,"Senate, March 12, 2020 -- The committee on the Judiciary, to whom was referred the petitions (accompanied by bill, Senate, No. 931) of James B. Eldridge, Mike Connolly, Mary S. Keefe, Denise Provost and other members of the General Court for legislation to prevent unnecessary vacancies in foreclosed homes; and (accompanied by bill, House, No. 1373) of Peter Capano and others relative to vacancies in foreclosed homes,- reports the accompanying bill (Senate, No. 2492).",summary
747fe898-3c64-4bea-997b-3d17ff414e95,ocd-bill/86984b58-8a41-4ae5-a9ba-6663a48e014d,"Senate, March 12, 2020 --The committee on the Judiciary, to whom was referred the petitions (accompanied by bill, Senate, No. 1037) of Dean A. Tran, Colleen M. Garry and Brian W. Murray for legislation relative to the ownership of pets by convicted animal abusers; (accompanied by bill, House, No. 1435) of Bradford Hill and others relative to the penalty for the abuse of certain animals; and (accompanied by bill, House, No. 3772) of Tram T. Nguyen and others relative to penalties for cruelty to animals,- reports the accompanying bill (Senate, No. 2494).",summary
d22e6ea5-7f3e-422b-8a20-545c35e59062,ocd-bill/87d10f9f-e261-461b-bf0a-6763b69ecdf8,"By Representative Haddad of Somerset and Senator Rodrigues, a joint petition (subject to Joint Rule 12) of Patricia A. Haddad, Michael J. Rodrigues and Steven S. Howitt relative to elections of the Swansea water district.  Municipalities and Regional Government.",summary
dd2f4e6d-c863-495f-bc81-f3dc56024610,ocd-bill/4970384d-ac77-4da2-970b-63b52f385cb5,"By Mr. Lewis of Framingham, a petition (accompanied by bill, House, No. 5192) of Jack Patrick Lewis (by vote of the town) that the town of Ashland be authorized to change the name of the board of selectmen in said town to the select board.  Municipalities and Regional Government.  [Local Approval Received.]",summary
1ec2c777-c325-4756-88b1-a5113e8cdb71,ocd-bill/8bfbbbde-942a-4588-9229-d6d901e11326,"Report of the Executive Office for Administration and Finance, Capital Debt Affordability Committee (pursuant to Section 60B(f) of Chapter 29 of the General Laws) submitting its estimate of the total amount of new Commonwealth debt that prudently may be authorized for the next fiscal year",summary
80503c2f-1912-4f33-a8d6-c8805e358676,ocd-bill/c496f8d2-fa4e-404b-8cb0-aaed5496f795,"Report of the Office of the Comptroller (pursuant to Section 12(a) of Chapter 7A of the General Laws) submitting its Statutory Basis Financial Report (SBFR) for the fiscal year ended June 30, 2020",summary
c6b63e4e-cee8-4f44-8b5f-8a7c40567e23,ocd-bill/3aa6c623-a1b3-4697-b135-9971ff99f680,Order relative to au pairs' living and working arrangements,summary
b4ac0da7-d48c-4645-97c8-a734f83fd151,ocd-bill/f22b6bde-7a61-4094-b0b1-ea3889d5fba6,Report of the Department of Early Education and Care (pursuant to Section 2IIIII(e) of Chapter 29 of the General Laws) submitting its report on the Early Education and Care Public-Private Trust Fund,summary
a9968b30-c303-4d3f-a898-8f7dc01e0069,ocd-bill/8decf21a-61c8-4739-92c7-c71654a2d176,"By Representative McMurtry of Dedham and Senator Rush, a joint petition (subject to Joint Rule 12) of Paul McMurtry and Michael F. Rush for legislation to establish a sick leave bank for Joseph Gatto, an employee of the Suffolk County Sheriff's Department.  Public Service.",summary
95830a33-e756-40a9-8726-1e5f22f9e6f7,ocd-bill/bab76c99-d468-4f32-a5c4-fc2f88d8775c,Report of the Department of Transitional Assistance (pursuant to Section 2(B) of Chapter 18 of the General Laws) submitting its Transitional Aid to Families with Dependent Children Work Participation Report,summary
32010dc5-149e-4d5a-aff9-6f7976b17dde,ocd-bill/804a0c71-a7a2-4d02-8da2-b0a92393f1f9,Order relative to authorizing the committee on Public Health to make an investigation and study of certain House documents relative to public health matters.,summary
295c3a0b-9edc-45f8-a15d-f79b48db6682,ocd-bill/6fa3a458-a8c4-441a-a7a1-7a15892b6d82,"Report from the Office of the Child Advocate (pursuant to Chapter 18C, Section 14 of the Massachusetts General Laws) submitting its Childhood Trauma Task Force’s 2020 Legislative report.",summary
cb8c6772-d95c-431c-8cdd-93a5f52a3814,ocd-bill/6c2e48d9-8406-4d3f-a21b-7a82a94c20b5,"Substituted by the House, on motion of Mr. Speliotis of Danvers, for a bill with the same title (House, No. 4847). September 21, 2020.",summary
5bbab35f-1eb7-420a-9cc9-827a28301d48,ocd-bill/d0356075-68bc-4279-9338-2d819f28f12d,Report of the Office of the State Treasurer (pursuant to Section 35QQ(b) of Chapter 10 of the General Laws) submitting its 2019 Economic Empowerment Trust Fund Annual Report,summary
a0b3cdc2-d4c9-4d29-924b-1573c296eefa,ocd-bill/067d45d3-b467-46db-ac26-9ebebb521eff,Report of the Department of Unemployment Assistance (pursuant to Section 14F of Chapter 151A of the General Laws) submitting the November 2020 Unemployment Insurance Trust Fund Report,summary
7b9b5286-aa45-435a-990c-fdb58de1ec8e,ocd-bill/4d63a8fa-ef10-40f1-aae2-540f5e041ba3,Report of the Department of Environmental Protection (pursuant to Section 6J ½(g) of Chapter 21H of the General Laws) submitting its 2019 Mercury Thermostat Recycling Corporation report,summary
045a5773-aa3e-4626-906e-86fdf2706c3c,ocd-bill/a4477341-7809-40a3-824e-a701ccb2b299,"Report of the Martha's Vineyard Transit Authority (pursuant to Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for the year ended June 30, 2020",summary
b943b4bf-88d6-48e7-8fa6-3b17d24f0854,ocd-bill/57f316e9-9e75-43a9-8076-001c48509493,"Senate, March 12, 2020 -- The committee on the Judiciary, to whom was referred the petition (accompanied by bill, Senate, No. 844) of William N. Brownsberger for legislation to update the definition of sexual assault counsellor to expand confidentiality protections,- reports the accompanying bill (Senate, No. 2491).",summary
3488850e-f601-42d8-a0cb-4e9cf6c1f95c,ocd-bill/df01893d-9458-4225-a314-f221e23af8b4,"By Mrs. Ciccolo of Lexington, a petition (subject to Joint Rule 12) of Michelle L. Ciccolo and others relative to the application of the domestic workers bill of rights as it pertains to au pairs.  Labor and Workforce Development.",summary
a58009fd-70a3-4fa0-99da-596f165f3ed3,ocd-bill/5ee5887b-e327-445e-9434-605c1d5dcb2d,Report of the Department of Veterans’ Services (pursuant to Section 12(b) of Chapter 115A of the General Laws) submitting its report on the state of the Commonwealth’s two Soldiers’ Homes,summary
ce183d08-8563-4a24-bbc9-85f2cf8c468e,ocd-bill/85e1e42e-bee7-4d00-904b-03c50f2ad656,Order relative to prior authorization requirements for inpatient mental health services within the MassHealth program,summary
149fd68c-0bbf-498a-bcf1-05b80f709946,ocd-bill/a9bdc96e-83c9-426e-bbbd-d2cacd3592b9,Report of the Massachusetts Gaming Commission (pursuant to Section 60(b) of Chapter 23K of the General Laws) submitting recommended distribution percentages from the Race Horse Development Fund,summary
228d2bf9-d837-4ed0-948f-52c20ca382c7,ocd-bill/e617d83a-4465-449c-86e4-92bc25082737,"Senate, June 25, 2020 -- Text of the Senate Bill Putting Patients First (being the text of Senate, No. 2769, printed as amended)",summary
17798b89-5e41-4987-bdef-cbb2514c3d26,ocd-bill/b2cd8c72-d725-4fb6-bafb-a5a22d13cb70,"Substituted by the House, on motion of Mr. Speliotis of Danvers, for a bill with the same title (House, No. 4010). December 7, 2020.",summary
282c7da7-f0f3-43d9-87ac-2b8105cf8e80,ocd-bill/3692198c-90d2-4b4f-9262-ed18fb27287d,"Substituted by the House, on motion of Mr. Speliotis of Danvers, for a bill with the same title (House No. 5093).  December 18, 2020.",summary
1c2069b4-227b-42c6-aaa6-a13abdfd722d,ocd-bill/11c5b314-0623-427a-b766-901b94755f84,"Senate, July 2, 2020 -- Text of the Senate amendment to the House Bill making appropriations for the fiscal year 2020 to authorize certain COVID-19 spending in anticipation of federal reimbursement (House, No. 4808) (being the text of Senate, No. 2789, printed as amended)",summary
