id,bill_id,note,date,classification,extras
7c2fcaca-8b94-4a52-a21a-54d466e48a7c,ocd-bill/25563857-b749-48ce-9b5e-ad074f57480e,Bill Text,,,{}
f833d6db-22ee-45bd-8f8a-d7612222bc05,ocd-bill/d7fd0b70-bab1-4e3d-8f39-71fa33cf57d5,Bill Text,,,{}
0434bf15-f112-4d8a-8af7-476e212f2aaa,ocd-bill/d11e9cec-53b8-411f-a563-c80ce189af44,Bill Text,,,{}
57abd3af-2f86-418b-9bbd-1090bcfef581,ocd-bill/bfdc6c86-c61d-4a9b-9c05-eaf4405638cc,Bill Text,,,{}
f1ae2808-e801-402c-a631-564e0c4b137e,ocd-bill/e3231623-fb51-4915-944b-d7dcd5a1f8a9,Bill Text,,,{}
f5eded36-201c-4823-95c1-99ccd4b9a1d2,ocd-bill/3e0d8d65-0fc3-4795-bbeb-df8db95b1cb1,Bill Text,,,{}
3b50f519-7c34-47f6-b78e-eaecaee6005e,ocd-bill/17f5b3b7-34df-4acc-82d2-a4937d72ba96,Bill Text,,,{}
2ceaf7f0-f32f-495f-8986-c3e7fa1f5ef7,ocd-bill/35b71cd7-c29f-433a-99c3-290cb4119d4f,Bill Text,,,{}
8a77559f-a899-49cf-8c72-897a36d752dd,ocd-bill/a3a0b905-3462-4e33-810d-36b723bb8b55,Bill Text,,,{}
97a0433b-b451-44f8-a296-c60046098ba4,ocd-bill/ce8f201b-9bf2-47bf-b543-58d489706c25,Bill Text,,,{}
01b535b2-0d8b-476f-9ed6-65d5c4c13de6,ocd-bill/9de0ac06-720b-4a53-ac05-9f34bf312862,Bill Text,,,{}
2e4e2e7b-016b-481f-bdf1-35c84b06aba6,ocd-bill/23f9f035-7b90-48d0-afda-c7849fcf603d,Bill Text,,,{}
da375b4c-e092-4b4a-9df3-e5cf987c1469,ocd-bill/8d9a7e78-03d9-488c-8a3c-5c8b86ffd0b7,Bill Text,,,{}
9fccb07f-a17d-4c79-92cc-caccc2d9c403,ocd-bill/ea5fd89e-34f1-4583-8a6c-00e30e695f83,Bill Text,,,{}
16ab693a-04d2-4c30-9981-de64af6e8ff1,ocd-bill/20751c64-64bd-4002-8f5c-2d726b884d78,Bill Text,,,{}
