id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/60086984-2345-4821-923c-74ba5f694316,H 1346,An Act removing the liability cap for malpractice resulting in serious injury or death,['bill'],[],191st,Massachusetts,lower
ocd-bill/72a32448-dc2e-4604-92eb-3d7204ce1a0d,S 2794,Order relative to authorizing the joint committee on Public Service to make an investigation and study of a certain current Senate document relative to retirement benefits for Demetrios Promousas,['bill'],[],191st,Massachusetts,upper
ocd-bill/b1773d99-5a72-43a1-ab4a-2d9f734778a7,H 4824,An Act to create a Boston Fire Department cadet program,['bill'],[],191st,Massachusetts,lower
ocd-bill/2e893fc3-48c4-4cc2-97e8-b886624b084c,H 4835,relative to the establishment of a joint oversight committee to make an investigation and study of the Soldiers’ Home in Holyoke COVID-19 outbreak,['bill'],[],191st,Massachusetts,lower
ocd-bill/37d1aca8-f44a-467f-8b2f-8e094ee4f05c,SD 2995,DPH Report on Vaccine Purchase Trust Fund Fiscal Year 2019,['bill'],[],191st,Massachusetts,upper
ocd-bill/72888cd8-ee0c-40cf-946c-7ce05a168f16,S 2797,Judiciary,['bill'],[],191st,Massachusetts,upper
ocd-bill/90cef41f-9f6f-4f58-83a0-10956faa058d,SD 2990,An Act eliminating the statute of limitation in civil child sexual abuse cases,['bill'],[],191st,Massachusetts,upper
ocd-bill/46bc20fe-25d2-417d-92fe-ef52179b0988,SD 2991,An Act designating a certain boat launch area in the town of Rutland as the Detective John D. Songy Boat Launch,['bill'],[],191st,Massachusetts,upper
ocd-bill/b79143de-395a-43b0-a12e-02979ca3795e,H 4831,Extension Order H.4831,['bill'],[],191st,Massachusetts,lower
ocd-bill/f06ab3cf-760a-4ea7-af16-c24e452ec838,S 102,An Act relative to transportation network company rider assessments,['bill'],[],191st,Massachusetts,upper
ocd-bill/b84ae589-41ea-4a20-8be0-518cf0eeeab3,H 2754,An Act relative to medical services,['bill'],[],191st,Massachusetts,lower
ocd-bill/9284e986-c4db-4866-9c5c-86f667bbe254,H 4825,"An Act providing certain retirement benefits for Thomas W. Devlin, a trooper of the department of state police",['bill'],[],191st,Massachusetts,lower
ocd-bill/ce66c9c6-6c1b-4ee7-a107-db3c616034dc,H 1779,An Act relative to parking and pedestrian safety,['bill'],[],191st,Massachusetts,lower
ocd-bill/0af19276-c9b6-4669-ba2a-9eef971aa857,SD 2994,"Communication from the Department of Public Health relative to its plan of correction for South Middlesex Correctional Center, Framingham on October 25, 2019",['bill'],[],191st,Massachusetts,upper
ocd-bill/aa80d2c9-f69b-4bcd-9944-3057031410b5,SD 2992,An Act to guarantee housing stability during the COVID-19 emergency and recovery,['bill'],[],191st,Massachusetts,upper
ocd-bill/8380e768-98c0-45ce-9d7d-6a225501e048,S 2798,An Act relative to the cost of living adjustment for state and teacher retirees,['bill'],[],191st,Massachusetts,upper
ocd-bill/a0087334-c231-4009-8cd2-e7663f512224,H 4826,"An Act providing survivor benefits to Ava Roy, the daughter of fallen firefighter Christopher Roy",['bill'],[],191st,Massachusetts,lower
ocd-bill/611363de-6179-4f5b-816d-3993268fb6d7,H 4773,"An Act authorizing the city of Cambridge to allow for a personal property tax exemption of $20,000 or less",['bill'],[],191st,Massachusetts,lower
ocd-bill/3a998db4-4e2f-4b9c-b86b-4075ac3c066c,H 4268,An Act to create a Massachusetts rare disease advisory council,['bill'],[],191st,Massachusetts,lower
ocd-bill/3aa7dc03-88a0-4cfc-a5b0-e8c9a63a5ed7,H 4659,"An Act to protect institutions that provide emergency aid in response to the outbreak of the 2019 novel coronavirus, also known as COVID-19",['bill'],[],191st,Massachusetts,lower
