created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification
2017-08-20 09:55:24.115402+00:00,2017-08-20 09:55:24.115420+00:00,{},ocd-organization/61a1385f-f512-4d4b-826f-3118c9a775bf,Office of the Governor,,ocd-jurisdiction/country:us/state:ma/government,executive
2017-08-20 09:55:24.123826+00:00,2017-08-20 09:55:24.123840+00:00,{},ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,Massachusetts General Court,,ocd-jurisdiction/country:us/state:ma/government,legislature
2018-10-18 14:47:07.259985+00:00,2018-10-18 14:47:07.386015+00:00,{},ocd-organization/1a699565-04f7-4569-ab0c-834fbc5ff6d9,Senate Committee on Intergovernmental Affairs,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:07.057648+00:00,2019-01-05 03:25:06.236245+00:00,{},ocd-organization/6e923e6d-bf12-4044-8a1f-a25e2f7047cf,House Committee on Ethics,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:07.405094+00:00,2019-01-05 03:25:10.523409+00:00,{},ocd-organization/8707d67a-7c3a-49af-9edd-e68662946341,Joint Committee on Education,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:06.773442+00:00,2019-01-05 03:25:13.707590+00:00,{},ocd-organization/c449b5d1-054a-4dcf-95c4-07fb999fbe59,Joint Committee on Economic Development and Emerging Technologies,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:09.164487+00:00,2019-01-05 03:24:49.000122+00:00,{},ocd-organization/fbdc0208-7e01-478f-a234-2e6d0e752647,Senate Committee on Redistricting,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:09.655859+00:00,2019-01-05 03:24:57.301853+00:00,{},ocd-organization/ad625b8a-ff23-43ec-8001-5ab079e9c864,Senate Committee on Ethics,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:08.474099+00:00,2018-10-18 14:47:08.594972+00:00,{},ocd-organization/0493a8f3-0b02-40bc-8c6b-2368843ea407,Senate Committee on Steering and Policy,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee
2018-10-18 14:47:08.897532+00:00,2019-01-05 03:25:05.117026+00:00,{},ocd-organization/4458120b-f256-49a5-b4b5-19c4a9b02b29,Joint Committee on the Judiciary,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee
