id,bill_id,note,date,classification,extras
52162d5b-7383-4371-a9c5-6c52266d2934,ocd-bill/97e960f0-4a11-4ef2-ba88-9363fcaeb8c0,Bill Text,,,{}
3d74e914-02cd-4943-bd17-9f0d4c0f10a9,ocd-bill/aef6a138-6f50-4fad-9d46-e86400bf69ed,Bill Text,,,{}
da0fe324-1d08-46b8-b4aa-fe5881f600f9,ocd-bill/b450d21c-47cf-466e-8b1e-a1b7a1b444c9,Bill Text,,,{}
54a984c4-4e36-40c3-897c-f32ed3cccf3b,ocd-bill/f9d56e02-329f-43a8-a6d7-521ea8aa8ff4,Bill Text,,,{}
f4a6bead-aebd-41e2-8713-4970733971f1,ocd-bill/3aa23ca8-b03b-4e7e-86d4-77945f703df0,Bill Text,,,{}
736e2f65-6b9e-4689-bded-79feb72d90fb,ocd-bill/77517988-d1cc-4180-a627-216d0a84d859,Bill Text,,,{}
5e8f4896-133c-480b-bae7-76397feffd3e,ocd-bill/538ea4a3-0981-4e61-a4b7-5bf04a649431,Bill Text,,,{}
a121aa50-e876-4b4a-8841-69e25b02960a,ocd-bill/f6c6c218-0e0e-4010-ad3c-0045545a57d7,Bill Text,,,{}
51bcd585-e148-4437-a159-e8aab56dc1ff,ocd-bill/fe72b581-b376-41cd-8bce-0e42fda478c3,Bill Text,,,{}
b6f9af24-38d1-4f36-8062-13de589779f5,ocd-bill/98241300-3733-4a8f-8bf7-acd72e3c2ea7,Bill Text,,,{}
2c8697ab-bd3f-4977-a1f4-bf0eba07cc9d,ocd-bill/ba5f916a-d701-4ee0-967a-afd6860ff08e,Bill Text,,,{}
14e1ebd8-131a-46b7-adee-e05b87861a55,ocd-bill/b7d2287a-147c-4c1d-8243-af18bb95dbdb,Bill Text,,,{}
3b28b841-7132-4c27-986f-a20081b9d9d9,ocd-bill/aaa214d5-f430-4959-a395-d798e439b424,Bill Text,,,{}
00899973-09cd-48d6-a17a-81f77ee80136,ocd-bill/8f9fe432-4a0e-4534-8cee-ed0a23a8d803,Bill Text,,,{}
91f2f83a-b030-4690-84fc-e33860b1548d,ocd-bill/f810ca59-9a8d-4258-a13a-52fb9322d9c8,Bill Text,,,{}
1ef490e2-df5a-449a-89cd-96801510ee8e,ocd-bill/b02cae92-22bc-4124-b9f4-4fa7609a585b,Bill Text,,,{}
e1b7ba56-fff1-452e-a5ed-e5f1e4ea0621,ocd-bill/873637d0-2012-4070-86b1-690c1518de11,Bill Text,,,{}
9029e9c5-c94c-4373-ac76-7e02dfa6f994,ocd-bill/a106b49a-2920-4c3f-8150-87fed27cc888,Bill Text,,,{}
c103c47f-3791-4862-bea5-33c67548864a,ocd-bill/805b46bb-c9a3-4e06-9f14-4f6deb62390b,Bill Text,,,{}
1204f2f2-a364-4af0-9653-cf036aa8cd6a,ocd-bill/b700d048-1a74-409e-950f-45b11a9dffc3,Bill Text,,,{}
1aac148b-30ba-4fa6-8eef-917f6be2aaef,ocd-bill/621dc6c4-1213-4da9-a47b-e5618b9ccbd0,Bill Text,,,{}
1427d4a1-6b0e-4458-8fe6-59b939ea0c73,ocd-bill/4dd25645-21e7-43e9-8369-9bbc3a4d4757,Bill Text,,,{}
04ed0e6e-3ded-4f79-b250-c3f90061189d,ocd-bill/d8f2dd39-b493-4d6c-bce4-5491fcc087d6,Bill Text,,,{}
5369e2a6-ec49-4d92-80ee-686c16381e19,ocd-bill/7cf08002-b868-49df-833c-9a95e91f7fe5,Bill Text,,,{}
ef7cfa8c-7a20-45f5-bece-3b2b72662eaa,ocd-bill/1e1d010e-a4ad-405c-b2ff-e2a7e21dcd2e,Bill Text,,,{}
5ea71f60-1dbf-4dee-adbe-911eff4ee3eb,ocd-bill/2b621dbc-cb97-4520-9fc4-af0027b2be66,Bill Text,,,{}
077ea2ca-f5eb-4a26-940a-bff7f09d8c09,ocd-bill/784767a0-d88b-4e72-870e-bdd4523e51ed,Bill Text,,,{}
1b1ea3df-31b4-41c7-a7ea-abf587f545ff,ocd-bill/87b42308-5cbf-4fba-910f-268be3c525cc,Bill Text,,,{}
576711ab-1a9e-410e-ac6e-6b75e27a6100,ocd-bill/bda22a96-0c04-4bd2-9571-cc54b3d5627f,Bill Text,,,{}
cbe0005c-9611-4a3f-94c8-414cf8e1418a,ocd-bill/dc8fffdd-cebb-4790-a398-2304fa191d61,Bill Text,,,{}
83bb5c1b-98e2-4716-8beb-e6aa70db3124,ocd-bill/228d4b67-48f9-47d6-8eb9-a4f930bd5608,Bill Text,,,{}
f6ac2cb3-7b90-4f59-982c-8acb64ef5453,ocd-bill/8a4da922-bc43-4c21-a296-50008c992808,Bill Text,,,{}
c4d948b4-2741-4938-8934-2af00c6796b7,ocd-bill/0b7b8495-d667-43e2-94d8-5a3a4250f8f3,Bill Text,,,{}
bdf23df5-16bf-4792-bda1-bbefe1f9b815,ocd-bill/286a0f15-8871-43ca-8fc2-06d234073eb8,Bill Text,,,{}
8a67b7cb-700f-4e42-8f2c-f46578905142,ocd-bill/c10842e1-53c7-42a3-a9c7-ef15780bae50,Bill Text,,,{}
bfc1b65f-581f-4758-9a34-c272855ef563,ocd-bill/e676b6f8-eaef-4d9a-b826-d75928d5e93a,Bill Text,,,{}
1f8f80b9-3d43-4dc3-87f3-2ebe5978baeb,ocd-bill/86848fe1-eaa3-407e-a460-6578037acd31,Bill Text,,,{}
280feaa4-c08d-4603-8769-b9260d6587a6,ocd-bill/3de64956-ff09-4c17-8551-3b85c824f294,Bill Text,,,{}
82847191-d8dd-4b17-a867-a08169629576,ocd-bill/9afc01aa-6dae-4a61-9ed4-325589ea11a5,Bill Text,,,{}
6f2228f3-572d-4039-b0b5-e7fb4d5e9155,ocd-bill/b13f87ad-e68c-4682-a32c-a5228e51590d,Bill Text,,,{}
e11153ca-59db-4e34-9615-738134ad1f15,ocd-bill/610a6096-c99a-47e9-8459-fbedef5193bb,Bill Text,,,{}
d849df16-32d5-4d04-b728-9ec748a074a7,ocd-bill/d3891d7f-69b2-4a57-90fa-15f03909e3b9,Bill Text,,,{}
0a9cc563-7020-4d2c-b183-aef92b8bc425,ocd-bill/45f7b288-564f-4b62-a0e0-f0863d3eafcb,Bill Text,,,{}
c767d94a-08fb-4d5a-9da0-dbf2a22726b6,ocd-bill/e5c875ae-dfb8-4f2a-9d3a-21990bb8d604,Bill Text,,,{}
49b6f169-6806-42d5-b9d0-384b28e50ffe,ocd-bill/76423261-57a1-473b-9c27-548f90a01ed4,Bill Text,,,{}
5dc78a7f-85ab-41ed-a08e-34a142cd44d4,ocd-bill/20c1cf11-a8d1-43d5-94af-aca46488efc6,Bill Text,,,{}
ce8b93b7-91fa-42cd-b8cd-83e0850f0759,ocd-bill/475799ff-5ecb-4393-beee-3ab7868e8db3,Bill Text,,,{}
c1314a1b-3218-4e5b-b529-7cb3058b24e9,ocd-bill/7519fa5b-9827-462c-93a7-b639f0a0d2e0,Bill Text,,,{}
4e0d0ced-5eb0-48f7-b445-b97d36c023bf,ocd-bill/96b0d8fd-b7f7-4a94-9270-18bebe85a6e6,Bill Text,,,{}
28038622-01e7-4067-890a-167d01786b7b,ocd-bill/3091ea15-7682-47e5-8e7a-07b5bd51ac42,Bill Text,,,{}
70292422-384e-4fde-8315-3bb87949d6f2,ocd-bill/0a0e9ebd-a526-4620-8d5f-33db5827d2b7,Bill Text,,,{}
1345b45e-0cea-4224-bb2e-d4c878ce2dd0,ocd-bill/edd21b47-bd27-4429-bf2b-4006880e5888,Bill Text,,,{}
8806c285-4d68-4401-8a31-5a5efee8ec6f,ocd-bill/6772e846-4903-4a76-889e-8426e237c9c0,Bill Text,,,{}
1729c637-aa04-4c2b-a686-b9c7dcb7e53e,ocd-bill/5fe0a7e5-b9e8-4a28-8e40-1adf98226ad4,Bill Text,,,{}
c0eeabc6-0860-4e34-8d6f-838ba589edee,ocd-bill/69bc37d6-3d64-46c6-be60-0debcf85a134,Bill Text,,,{}
cbde75b4-bcbb-4e7c-b2ff-311f4ca81fb6,ocd-bill/d41de2ba-ac7a-49cb-afe5-0fb615b0f276,Bill Text,,,{}
2f6f8394-05b8-46ca-970d-a0f8b1d9e00f,ocd-bill/1e3f2070-f84e-4f2b-a3a8-90cfb2422e95,Bill Text,,,{}
2debc9f4-55cf-4795-8daa-f3ae00b2fd10,ocd-bill/e73d9bef-a381-42e3-a71e-f0a3898555cc,Bill Text,,,{}
e920d05a-942d-4124-955e-e95cc5c77281,ocd-bill/b7f49a94-3f50-41ed-b027-b4a7b55e9812,Bill Text,,,{}
045d6e48-20c8-468f-afd4-1553f727f98b,ocd-bill/1fcc9b88-be4e-4905-aed9-cae289cdab06,Bill Text,,,{}
6c8a2593-77e7-45e3-a7e6-566fe1af2f5a,ocd-bill/d83a80f5-9dc7-4c9b-aab5-eba53c0b7e98,Bill Text,,,{}
333b13b8-61bf-4423-a6d5-048aa2df5965,ocd-bill/a0dc04e7-c227-4970-a586-d7c70591683e,Bill Text,,,{}
2e5caec3-8942-4eea-b045-2a8662848b5c,ocd-bill/f72c36a7-68a9-4990-9d6b-36cac951a208,Bill Text,,,{}
cda06911-58db-4f8c-aaf5-2c12b68bc51c,ocd-bill/a7c0ad4f-9535-4624-8e75-f0a9e9eafa16,Bill Text,,,{}
12ffb766-047d-4827-8070-2c1bfeb329e5,ocd-bill/c4a2b289-d678-41df-8790-1075b655bbe4,Bill Text,,,{}
b95566a6-cc24-4309-a00f-c949f51d2c1d,ocd-bill/c8d63371-16b2-4da9-af1e-2ec8931c8f63,Bill Text,,,{}
b7641131-87be-495e-a621-52ec32850b8b,ocd-bill/129f9bdd-eca3-481e-993b-c72197cd08ed,Bill Text,,,{}
10160fa4-7fa8-4894-bace-a84652c693dd,ocd-bill/cc90e9c0-fec4-4359-b001-ffc2a3fd1150,Bill Text,,,{}
e62f2c99-030f-424b-b5fb-14c699499932,ocd-bill/619163b5-324f-4806-9e00-2b859d316647,Bill Text,,,{}
03f976f8-3e1f-403d-a6b5-f4295ead126b,ocd-bill/482973f7-7482-4655-b344-85e4c7114e39,Bill Text,,,{}
88581cdd-d2fa-4cb1-8988-563353db7e7f,ocd-bill/72be9b26-1dc1-4b13-b0bd-7e970855d5d5,Bill Text,,,{}
80820e3c-157a-4c5a-8cfa-f89e4a16268f,ocd-bill/f9e4fe87-3ab7-4b65-813f-16ab2f1efed6,Bill Text,,,{}
8dc541fa-c731-49a9-9bcf-0f1a3442e704,ocd-bill/9b9e3253-468f-4355-84ef-63ac0d763f41,Bill Text,,,{}
1b6cadc3-7ea4-44cb-be77-0ba6292700ef,ocd-bill/d1e35cd2-de30-493a-812b-b66e09e1a244,Bill Text,,,{}
9cfe68ed-adb7-4b89-89dd-d94fc4a4d5e3,ocd-bill/ac385b1a-605b-443e-929a-b4fa7ee3e9e5,Bill Text,,,{}
cbdaf2e5-d15c-42f0-a979-0146746250f6,ocd-bill/ef318e19-cdf5-46eb-9222-a3da893c985e,Bill Text,,,{}
04a23e61-9ab5-4529-835b-6fa1ea93738e,ocd-bill/4e34773c-4edb-4186-9540-5f2ac96e03f6,Bill Text,,,{}
68d2c442-5f37-444c-952b-2724c70d9c4c,ocd-bill/31a1222f-7341-4b20-af0c-f5d39e2af860,Bill Text,,,{}
7bad551c-06ce-4bee-a83e-993184d3433f,ocd-bill/f5d6aab1-d42e-42c2-b050-08d7bcc2068c,Bill Text,,,{}
00ddb312-6e6c-4d11-b112-a52fee838452,ocd-bill/8f2a0e1f-b037-48db-9082-582a4b2fd40c,Bill Text,,,{}
194ac529-460c-4125-be07-5eaba8887e78,ocd-bill/a5047e57-a6a8-4f5e-b283-990950075af5,Bill Text,,,{}
c726e246-c16c-4b93-945b-0769bdae4027,ocd-bill/0c5b2e3b-c589-4c54-a7df-904a3d7298cd,Bill Text,,,{}
c1e0b640-8d18-4d7c-b2b5-9de97bbc3c7f,ocd-bill/ea846e7a-f177-40fd-a2d5-e29a18bef623,Bill Text,,,{}
f184b78e-575e-48f3-865d-90fb3d7f9275,ocd-bill/f0d0d593-31fe-4d9f-90de-70943eb4d9fa,Bill Text,,,{}
5c9ed48d-1e05-4d54-abc2-c444a2768157,ocd-bill/dea9287b-4491-4c28-8c23-388b9a5acf0d,Bill Text,,,{}
e84112b7-ff7f-4e7e-94ba-0e6f2a635760,ocd-bill/55baf10c-abc0-49cd-92c6-3c3b838227a0,Bill Text,,,{}
c388544e-8b30-476d-a18f-e36482bde488,ocd-bill/04d8a881-ec83-4c2a-abf3-20f9b077bc3f,Bill Text,,,{}
0be77d9e-d563-4b02-9159-f3053b635dda,ocd-bill/c7486992-453d-40b0-b190-a46bfb103901,Bill Text,,,{}
541aa8af-49ec-47b7-9344-3923a4940bc8,ocd-bill/01f792f5-00bf-4418-b78b-fd1fdcef1e21,Bill Text,,,{}
bc5adeac-0716-4183-bd8c-967ce58e93a4,ocd-bill/bba36951-a65f-4ab0-9925-a5485a7dceed,Bill Text,,,{}
094d664d-67f2-4717-a76d-6e5bd4d08825,ocd-bill/b885b482-bf41-44bc-80ed-b353ceec0068,Bill Text,,,{}
864ecbcd-23a2-4cb0-91d2-4ec0922f1877,ocd-bill/6c7a8664-c152-47c3-9f5f-c3273b31a2cb,Bill Text,,,{}
23e56b8f-eac9-486e-8e2b-6213d2d35f67,ocd-bill/306ab788-7646-4aca-bb7a-4dbca30bccf9,Bill Text,,,{}
eb75be55-ab7a-4073-9b56-483c37c9dd8d,ocd-bill/a65d9586-823b-4e4e-8ffa-d02668dbe9ee,Bill Text,,,{}
8c4b17ce-89ac-45ae-9176-19a503eeba82,ocd-bill/d012137c-0f77-48a8-8de3-29f561a34a8b,Bill Text,,,{}
091c9b6e-e355-41f6-baae-36272fae34d9,ocd-bill/408e1164-bb24-4d7c-9782-5b65dc112040,Bill Text,,,{}
cff6eda7-ca0c-4764-a2e0-5d44025bc738,ocd-bill/0d215c77-dc18-41eb-89f1-5611b799cd3c,Bill Text,,,{}
26e92d2e-9d9b-4348-8577-f35585bad2ac,ocd-bill/e6e478eb-752b-41b0-ad80-cf4b1ffa35da,Bill Text,,,{}
5bed238a-6cf7-40b5-9e3a-e8d3559fd379,ocd-bill/b6c44949-6ed1-438e-a2dd-fcce7cfe0127,Bill Text,,,{}
9fc497e6-1f60-4f48-ab77-f1a24bdb08da,ocd-bill/71e820dd-0cc8-416f-ad42-d37737cc4184,Bill Text,,,{}
f78fa018-32c0-46cd-a0cc-984b17f73660,ocd-bill/3f9b4b7b-fa26-459d-9602-98a6b723e079,Bill Text,,,{}
9fef6355-d018-4e37-98ec-ae5b25baa5ff,ocd-bill/75c2ffec-40e9-406b-88e5-12c84622bd2b,Bill Text,,,{}
8c92e778-3d17-426a-b255-c5ca26c01230,ocd-bill/5f41c689-43a4-4069-8409-383a9cad77da,Bill Text,,,{}
74edca21-3f7b-497c-aca5-68fc950f57b2,ocd-bill/c1859a1a-3585-4f15-89d4-67198342c3f5,Bill Text,,,{}
0a01ef4c-3fa4-4f65-bf48-85b5217e7524,ocd-bill/8e780c41-5436-47ad-b1d0-334221bccbe7,Bill Text,,,{}
65d4e65b-b254-49bc-8647-971f5bd9dc46,ocd-bill/280dc843-f668-4ed5-8581-e41d1bfaf785,Bill Text,,,{}
8e2e1763-6bda-409b-aab9-1d111374d31a,ocd-bill/6d4ed15d-61ec-4c6a-9143-600e73a10cf8,Bill Text,,,{}
1878c68e-1d76-454f-a728-a6aef7a45cc2,ocd-bill/ab170c71-a7ac-4660-bb00-4c6aa46fe645,Bill Text,,,{}
f0e98780-d0fd-4f2d-818f-be065d47b417,ocd-bill/e7b95da0-4879-4edc-a8f1-ef63be71e2b6,Bill Text,,,{}
1be66301-7b3d-4751-ad3c-1fd164e266a4,ocd-bill/b36c6787-c6ce-4abb-88b7-ada6eea2289d,Bill Text,,,{}
b85090dc-d2cd-4835-ad40-f53a69b9c6c7,ocd-bill/5b432b83-11e1-48cf-b44d-6ca740adbe00,Bill Text,,,{}
cc3b0c82-913b-4347-a0ed-1fe62c57880d,ocd-bill/dcf428c9-0f0c-428b-ae9e-442f1a479faf,Bill Text,,,{}
a7ba39e4-276e-4c76-bacc-d36d26dbe3da,ocd-bill/06106eae-4026-4a27-9cff-f024bb6bd03c,Bill Text,,,{}
3b9379be-661b-4468-bc50-d9a92ac5148d,ocd-bill/e95799b6-7db1-49ea-926f-9bc5cb095fe3,Bill Text,,,{}
dce268d8-9c83-45a3-b1a5-8eb64084b146,ocd-bill/27d94d0b-2146-45be-a0cf-786e8badbd45,Bill Text,,,{}
caa44c3e-fc9a-46ac-8577-371c2fc1e71d,ocd-bill/23e0dc62-400c-4631-93a4-d8583b339fc7,Bill Text,,,{}
7198368f-5e6a-41bc-9ee4-436b0d3d7e43,ocd-bill/394461c3-2028-466d-827c-f984e9696353,Bill Text,,,{}
d6bfb54b-9754-445c-9672-ccef7222aead,ocd-bill/95e03ed6-4057-4d65-96c7-ed359977b470,Bill Text,,,{}
e0d91dc5-3707-45b6-8133-facbbd5a6750,ocd-bill/af8c8266-108d-475f-9ead-de66170556cd,Bill Text,,,{}
8da7f7e1-6bd5-4bca-8ec7-6d530e6ed25d,ocd-bill/d4105afe-9ee3-4d1c-a27b-56bbcb2d3148,Bill Text,,,{}
ba243625-e41b-4599-a471-53908c52cc57,ocd-bill/50b5e753-c889-4f5a-aedb-0d424f6fcb27,Bill Text,,,{}
ddb45799-080f-44ee-88b0-8d45ff6bd274,ocd-bill/f5e5b6be-b215-4498-8959-9a9be03119eb,Bill Text,,,{}
68cc2b48-4e80-440a-9bf0-d8ba2b6c4976,ocd-bill/987e6c37-3491-4479-af5f-0826c84028c7,Bill Text,,,{}
d53695d8-81e2-4fca-90d8-056db84351c0,ocd-bill/2db2d6e8-5ffd-4526-a926-bec713c4fcee,Bill Text,,,{}
c6b3584c-cc70-4b01-8333-76164c594767,ocd-bill/790c35c3-992c-48e8-91d2-9956a5a4fc74,Bill Text,,,{}
3f3cbe4c-0d8a-4921-b90a-43ed4642befe,ocd-bill/949f1e3c-11e6-4fc6-989e-7c0268ef7e62,Bill Text,,,{}
3df4149d-a26c-4640-b230-1dfc6a58ff33,ocd-bill/1c466a4a-5423-4e2f-a81f-e3ff2dc99e68,Bill Text,,,{}
4b2eb192-5032-46df-bc33-e98c17e4d288,ocd-bill/9fff1fdd-0fad-4431-859c-afb5bdb67012,Bill Text,,,{}
f9567d91-68af-4ee4-bfbf-feadcef1d92b,ocd-bill/37bcd4bf-62b6-4282-a0f9-eda828027f7f,Bill Text,,,{}
35e03271-7336-4c48-bd8f-9c92a9879baa,ocd-bill/3e240e9d-9db4-431e-b12c-b68bde218b33,Bill Text,,,{}
0896ac58-a3d9-4a2b-81ac-8a8eb3434e74,ocd-bill/e277d0b3-1f75-43f7-bb0a-04e8f4284042,Bill Text,,,{}
d81781cf-cc42-487b-922c-50c36821ad99,ocd-bill/dcc67de5-4e00-484a-8529-21802e55eec3,Bill Text,,,{}
cacf7d56-9b49-4a95-bd70-f70516d8b485,ocd-bill/17664296-29fd-4ffa-9e01-f1b356ee5401,Bill Text,,,{}
b0167388-882c-44fa-b864-1400ba9aa01a,ocd-bill/4c7f46a2-cf2c-4209-ac69-bcceedac2478,Bill Text,,,{}
bef35e10-8031-4e74-92ef-8231eba2da32,ocd-bill/d61d7289-128d-4571-839a-bdc6b5add82e,Bill Text,,,{}
ea89ce50-ffe5-4da7-9a6c-7b970b3a8bf8,ocd-bill/61dbe9ab-0c40-4132-9a52-1e4c16833f75,Bill Text,,,{}
9e2e8f73-6954-482f-bb24-4872932fd342,ocd-bill/99ee23b8-0508-4642-9bd6-9a01c35eae3b,Bill Text,,,{}
431fa579-fdeb-4dea-a8ce-e81e193d96c6,ocd-bill/de3fb460-02cb-40d8-8cd2-0c54851c465a,Bill Text,,,{}
f9f3fd32-81f5-4375-ae0f-77b076a38cc6,ocd-bill/19e6d739-cbe5-4cdc-a17c-1b01730c967e,Bill Text,,,{}
