id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/c52b18fa-5aa1-4e41-a40b-7e142370f6cd,HD 1049,An Act increasing the penalties for unfair and deceptive actions perpetrated against persons with disabilities and senior citizens,['bill'],[],192nd,Massachusetts,lower
ocd-bill/6fd38c1d-725d-4057-91cc-267d34184e89,HD 1155,An Act regarding municipal master plans,['bill'],[],192nd,Massachusetts,lower
ocd-bill/31204e37-b436-4a62-8f2b-02518329e765,HD 1110,An Act relative to geography education,['bill'],[],192nd,Massachusetts,lower
ocd-bill/b1af38f8-7cff-49fe-8cd4-dfeb62d166fb,HD 1065,An Act relative to the deduction of health insurance payments from gross income for self employed individuals,['bill'],[],192nd,Massachusetts,lower
ocd-bill/cefe04e7-bbc1-4c99-acf3-7943b682b5d1,HD 1102,An Act relative to the Massachusetts estate tax,['bill'],[],192nd,Massachusetts,lower
ocd-bill/a87d8318-9697-4f3f-bda0-a80140d6daa8,SD 516,An Act addressing investigations of reports of abuse and neglect,['bill'],[],192nd,Massachusetts,upper
ocd-bill/214421d0-8321-40f4-b428-096636c86bbc,HD 1117,An Act relative to veteran's benefits for surviving spouses,['bill'],[],192nd,Massachusetts,lower
ocd-bill/f184c0ba-bfd4-444f-ae51-724acfe0b445,HD 1138,An Act relative to clarifying the application of the heart bill,['bill'],[],192nd,Massachusetts,lower
ocd-bill/3aa23ca8-b03b-4e7e-86d4-77945f703df0,SD 2823,DLR FY21 Annual Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/a0b73a12-d6c3-4018-ae18-5df36d00b29f,HD 1057,An Act relative to community preservation funds for coastal infrastructure,['bill'],[],192nd,Massachusetts,lower
ocd-bill/84091d80-5048-4e5c-84c6-a430d67f6e33,HD 1085,An Act relative to providing improved access to taxicabs for persons with disabilities,['bill'],[],192nd,Massachusetts,lower
ocd-bill/0b8736aa-dac7-48ab-94a6-94d90fa0a9e8,HD 1082,An Act relative to preventing death by drug overdose,['bill'],[],192nd,Massachusetts,lower
ocd-bill/b85781d6-a12e-4b8e-9cb2-8fcb6a792cc4,HD 1151,An Act relative to clinical laboratory testing,['bill'],[],192nd,Massachusetts,lower
ocd-bill/068d6684-38c8-4748-9c80-c32bb37dfbf6,HD 1083,An Act exempting certain fraternal organizations from the tax of sales of alcoholic beverages,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ff91c43d-543a-4dac-ae1c-c9ce177655c8,HD 1143,An Act updating overtime protections to protect the Commonwealth's middle class workers,['bill'],[],192nd,Massachusetts,lower
ocd-bill/d060bb87-f8e5-47af-8871-1176de0ce6f0,SD 2157,AGO Fair Labor Division 2020 Construction Industry Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/78d94655-9929-4255-8ec7-bd0cdc914a71,SD 498,An Act relative to reasonable municipal expenses,['bill'],[],192nd,Massachusetts,upper
ocd-bill/df63f8af-64bf-4fa6-8a83-ed5f8fa5e1f6,HD 1126,An Act to preserve historic markers,['bill'],[],192nd,Massachusetts,lower
ocd-bill/34c8af3c-3498-46f0-9abc-d06a761ce6b9,HD 1096,An Act to regulate the training and supervision of snowmobiles,['bill'],[],192nd,Massachusetts,lower
ocd-bill/4194ff7c-bd9f-45ba-9ca0-fe84f1d316e0,HD 1137,An Act relative to disabled service-connected veterans and the motor vehicle excise tax,['bill'],[],192nd,Massachusetts,lower
ocd-bill/b4d65fa7-6526-4c46-add4-67f78ddefedd,SD 506,An Act relative to the small commercial tax exemption,['bill'],[],192nd,Massachusetts,upper
ocd-bill/0e5dcc91-d8ea-4f69-aef0-549864976138,SD 513,An Act to prevent illegal trafficking and gun violence among youth in the Commonwealth,['bill'],[],192nd,Massachusetts,upper
ocd-bill/1421ae2e-f432-45e8-84c6-d67ebe0ded69,HD 1073,An Act relative to affordable housing,['bill'],[],192nd,Massachusetts,lower
ocd-bill/4be21b32-1a59-4354-bc1f-9825f8aad314,HD 1106,An Act relative to noise and air pollution,['bill'],[],192nd,Massachusetts,lower
ocd-bill/d55fb943-a4aa-46ba-9343-dd2ccab8400a,HD 1068,An Act assuring that polling places are accessible to elderly and physically challenged voters,['bill'],[],192nd,Massachusetts,lower
ocd-bill/e7392227-fa4d-4d5e-917e-5052c9328ceb,HD 1103,An Act relative to court filing fees,['bill'],[],192nd,Massachusetts,lower
ocd-bill/81920a0f-9ff0-4219-91c6-af03af906383,HD 1156,An Act establishing a tax revenue fairness and implementation commission,['bill'],[],192nd,Massachusetts,lower
ocd-bill/e59155eb-89eb-49a8-aac3-ba5affa0f7fb,HD 1070,An Act relative to air traffic safety,['bill'],[],192nd,Massachusetts,lower
ocd-bill/61a92783-6393-4d78-884b-e2d657a9ba72,HD 1135,An Act relative to Route 90,['bill'],[],192nd,Massachusetts,lower
ocd-bill/dc950b88-b53a-4809-a8d8-effc2679fbe0,HD 1088,An Act relative to increasing the fines and penalties for texting and driving,['bill'],[],192nd,Massachusetts,lower
ocd-bill/277a961a-4283-4c64-8088-a0f62e3cf77a,HD 1116,An Act relative to the lawful sale of handguns,['bill'],[],192nd,Massachusetts,lower
