id,bill_id,related_bill_id,identifier,legislative_session,relation_type
7596c720-9918-464d-88ab-a55b027f2c7b,ocd-bill/fc5bcdf7-27a7-4b96-8711-3b0ec886f9d9,ocd-bill/431d283e-bcbb-49da-b45b-facccc8cf6a7,HD 1129,193rd,replaces
f11b7683-e943-4720-983c-a0cd93b75edc,ocd-bill/e266c86d-3396-414b-b970-8a8a4615cf35,ocd-bill/f68d1ae2-3c70-4461-9cd5-79d672939c22,HD 1151,193rd,replaces
a6760a4c-c559-48f4-a8e3-0775487d642f,ocd-bill/78d3acd8-8ace-4611-af3b-3b641652903a,ocd-bill/578fe180-17a2-46fa-a45b-0c4eb3dd8b09,HD 1176,193rd,replaces
57915259-22f4-4f24-a7c6-7c2ec258f88e,ocd-bill/4b85c7e1-5149-415d-aeb2-d3e584cbce50,ocd-bill/b00dd908-b72b-4231-aef8-42998ea2f696,HD 1165,193rd,replaces
1323d8e4-97b6-4c1c-af86-bf5e61bd4425,ocd-bill/205d27f8-de5c-4f6e-ada7-6619117669b5,ocd-bill/acc02ca7-9a69-4671-9c97-749444daa9e4,HD 5310,193rd,replaces
75623a08-1ae6-4e1f-91ab-28b008dfbfbf,ocd-bill/5a0ea21c-f6a1-4766-9d9e-e7c85fe739f4,ocd-bill/9210dfc1-3e6d-4bf7-a4d8-2691215bd0ea,HD 1106,193rd,replaces
521f55eb-8932-47fc-b749-4e6ee4d6a276,ocd-bill/6d0b0fc3-a2e0-4b42-9ccf-ff0c0e6b5c51,ocd-bill/eb2a3e6c-4b92-4de9-816d-85a75e5b824b,HD 1727,193rd,replaces
7cc14a36-1a2c-476d-b8ea-f453ca793e4d,ocd-bill/38877e67-a1fb-49c5-8142-732441c66ed7,ocd-bill/ce59a532-8bb2-4923-9efb-e052b098ee55,HD 1713,193rd,replaces
58740b41-ed10-45c2-9795-3bedc8dc7ed6,ocd-bill/c51530eb-2b99-4a33-a8a1-d5aa69f871ff,ocd-bill/e84a32b0-b494-4708-b79e-df1d9ce964b3,HD 1238,193rd,replaces
78ad14af-9ed7-4e56-a14a-023d62d8a338,ocd-bill/cd211d6d-cde7-45ee-bdb7-20f69be8fc72,ocd-bill/23b0e7e7-a4a9-42aa-af30-fe88a4a0ba53,HD 1223,193rd,replaces
0746ae27-a85d-48c0-85dd-ab8b92def8b7,ocd-bill/becd3223-f149-45eb-b378-1f11b62b2697,ocd-bill/3ba8a7e5-392d-4e86-a2a9-51f4a99738dd,HD 1101,193rd,replaces
d2774dc7-75ad-4e25-9902-413a17174429,ocd-bill/f6386313-e9ed-4e1a-881f-99191f975c92,ocd-bill/1387a092-d6bd-46c7-b25a-413550f8e869,HD 1125,193rd,replaces
