id,bill_id,note,date,classification,extras
7a51b64d-08e4-4a9a-b14b-952849f4ee86,ocd-bill/d2e4c5ec-4e48-46ee-87ef-6a23cec92fe4,Bill Text,,,{}
45ca20a8-6425-4e7f-9ca3-6c711e53a76f,ocd-bill/f467b363-c277-40d3-9261-65d409e35ff5,Bill Text,,,{}
d170070c-188d-4fce-81c9-780950e373d7,ocd-bill/be21c7d4-fa0d-4821-b3de-7214549607b1,Bill Text,,,{}
2e3f43b4-760e-4fde-bde6-e7cfa13ab5b1,ocd-bill/e7f1d145-fdb9-48b7-9325-e268185682aa,Bill Text,,,{}
4d907cec-81e1-4e7a-9a4c-51b120c94684,ocd-bill/b84d2430-e3ca-4d70-99cb-265d1bf73c72,Bill Text,,,{}
a1ec134c-a028-418c-91b5-89265b0dce9a,ocd-bill/13e41c23-82ec-44ed-84c6-6671b3db3eed,Bill Text,,,{}
06596970-2a15-4e63-9290-512d85105c1e,ocd-bill/c12a1e6e-7803-4511-adb2-cf226d91af91,Bill Text,,,{}
4631ee5e-666c-4234-b46a-c03c568c0123,ocd-bill/8255a12c-31b6-4c8c-9d3f-9912ca0d78b2,Bill Text,,,{}
70dd8b3f-9e21-45d3-96f9-c7e0a1e3f2e6,ocd-bill/e6549889-1f53-47ac-a92c-79fc1dbf97bb,Bill Text,,,{}
28e77073-0809-4f90-9bac-c5e5076f902e,ocd-bill/dcba9e9c-b0a4-4972-805d-09e1d4dfab1d,Bill Text,,,{}
ea168d09-0141-44bc-93fd-350a2f348cc0,ocd-bill/be43a68b-3b96-4b89-a46b-17b14a86bffe,Bill Text,,,{}
c5be9efb-c94f-452b-8506-6dc4b706a623,ocd-bill/413e1888-7340-4321-86d2-5ae9fe3947a9,Bill Text,,,{}
82996927-50e2-4b5b-9972-4c474d2fc9b2,ocd-bill/1586495f-ffee-4bab-8aed-2b86a170a978,Bill Text,,,{}
315c1d1e-4c2c-47be-a8da-e094a4761a16,ocd-bill/0c1a6548-302c-4229-af3d-9bdee68a1440,Bill Text,,,{}
63a8c5fd-21ef-4d4b-8e5d-efee327bcb41,ocd-bill/18481173-476d-451a-95c0-087beb2aa44f,Bill Text,,,{}
63804edc-1da4-4468-9f24-c9dc358fc2ab,ocd-bill/78151874-aacb-43f2-8890-5c454125425a,Bill Text,,,{}
a7f27900-8a74-47b6-9bde-ae1787a635f7,ocd-bill/70af0ca5-4629-4611-b0ad-d9f3920dbd0e,Bill Text,,,{}
d751f776-4e5d-418b-82ea-67dc5c09c345,ocd-bill/39493361-93c3-405f-ac18-43c2bb784b56,Bill Text,,,{}
558ff1ce-66b4-48ad-b444-727362aa5be8,ocd-bill/906eb1ff-b0f8-469f-b977-de9094af4680,Bill Text,,,{}
ca448fe7-d81e-4604-9508-05cace50397a,ocd-bill/5c233eb2-c9bb-49ad-912c-6456acbcf9ae,Bill Text,,,{}
dca49f14-dc15-4310-845c-894cab8d140d,ocd-bill/36eb47d7-6a80-4f84-b187-f0f7822ff127,Bill Text,,,{}
f6990b36-9cd1-4be4-8df1-3d49d506a6c0,ocd-bill/9a36a1e4-4370-4e9c-a378-6b91470cb865,Bill Text,,,{}
aef00038-3919-44ba-8f6f-02285a69680d,ocd-bill/3e1f985b-7e28-43ae-b2a8-f88251632ebf,Bill Text,,,{}
c123e0e3-7a27-4f43-8bbb-c5c69f3c0ff3,ocd-bill/c777cefb-b4dc-4828-a23d-a770254d8842,Bill Text,,,{}
7d9a20a1-8d62-4102-9147-3a3b3020095d,ocd-bill/f62cda2b-3351-4cff-8648-d302b858d601,Bill Text,,,{}
7c880195-43d9-41e8-b2a6-e93639ee239f,ocd-bill/db41ab46-5511-4f0f-baf4-6ab79e05b68b,Bill Text,,,{}
62638408-6bd3-4422-a89e-80ca551b278c,ocd-bill/d45f8f5d-4247-4611-bd12-ac3c4a4bf6c4,Bill Text,,,{}
2c222df1-7cda-470a-8c3f-4143973cb825,ocd-bill/e0410bd2-e316-473b-913e-6895913a45e2,Bill Text,,,{}
03c92db5-303d-42fe-8b88-338859c56c60,ocd-bill/98e43f71-7ab9-4b34-b86f-54222c953be8,Bill Text,,,{}
4d1f60ee-c201-4a0b-b983-ca6e8f27316a,ocd-bill/096f6ef9-1b97-4548-bacb-04281cef6970,Bill Text,,,{}
2ccc8769-c50f-47ef-8470-a0e33abae3a4,ocd-bill/29fb6903-414c-42bc-a7fb-2e7e5029473e,Bill Text,,,{}
f77ffdec-0c45-4b8e-9bc3-40a9e2577165,ocd-bill/be0e163f-5132-49ec-b36c-504ab0a30bd0,Bill Text,,,{}
f02a8fca-d5f5-453a-8376-10e90b47d2da,ocd-bill/d0f5a93b-64e2-46d8-a6a5-2e90c2e4e53d,Bill Text,,,{}
c36960fc-0a27-4c3b-a7c1-e3d25db481cd,ocd-bill/b06629fa-5afd-4dd3-8a9f-1bd9469985ef,Bill Text,,,{}
b984f61e-32c7-4656-9ce3-431deb3f886c,ocd-bill/70f5bd58-37bd-4e8d-b684-43aa88e7d011,Bill Text,,,{}
8df759e3-911a-477e-b1ef-3432abab99d8,ocd-bill/b79a09b7-3791-4820-8801-77b6e131171a,Bill Text,,,{}
c0e8436b-4bc1-49a7-a630-c960455a9145,ocd-bill/654d1064-882a-4fca-8a79-2ed740c549af,Bill Text,,,{}
e64c953b-ac36-41ea-80d8-ac4732d9476a,ocd-bill/faafaf6a-0bf8-4fd5-9d93-5abdd699273f,Bill Text,,,{}
ed79ba6f-0e13-41f3-9919-0dea2fc14d17,ocd-bill/25ac5595-a792-46ff-9e87-143e8e0e8313,Bill Text,,,{}
e405b990-4b6d-428c-8ba0-f494461e74f9,ocd-bill/85aaf349-ad03-40d1-a4d5-725c7b2a0511,Bill Text,,,{}
03937a71-bbe9-4d64-891f-610dd769e45e,ocd-bill/c6cbb5da-85ac-44fa-9e01-c2ca795cf81f,Bill Text,,,{}
0e06eeff-2700-4379-8756-9dcacd9aca5f,ocd-bill/b8b532b1-8624-4fb8-8263-f808d8ff04cd,Bill Text,,,{}
461441eb-cf8f-49b4-907d-31e77b86ab76,ocd-bill/1cf48e79-36d0-4c94-94d5-88981ac4e149,Bill Text,,,{}
58cb32dd-bdf5-4426-bd1d-98ddc69ff428,ocd-bill/b266b959-32e6-4c4c-9055-1b50e6712873,Bill Text,,,{}
3d468c94-b754-490a-8539-17b74b9e4022,ocd-bill/947104ff-94bf-451e-b006-c19006a4bb8c,Bill Text,,,{}
a216324d-299b-40d2-beaf-2c16ee2e310d,ocd-bill/42101095-5469-4810-bb43-5f36f8bfbd6b,Bill Text,,,{}
a8c6ca63-60d9-4c0a-9240-17b3441784bd,ocd-bill/0635aeba-1646-47c5-8614-5ad52d967725,Bill Text,,,{}
4d9ecfd1-0009-4393-bb40-02b3ffa030dc,ocd-bill/416d0f49-58e6-447a-94d6-5e263b7f17d1,Bill Text,,,{}
