created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-23 02:05:17.147721+00:00,2024-10-09 23:57:52.349806+00:00,{},ocd-organization/a46f83cb-7a71-42f2-8ef0-b976a668e8e6,Joint Committee on Higher Education,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J29', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J29', 'note': 'homepage'}]","[{'name': 'Joint Committee on Higher Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Higher Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Higher Education Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:16.832020+00:00,2024-10-09 23:57:50.997575+00:00,{},ocd-organization/6c5da398-9b0d-4d38-95f0-8a43e78ed804,Joint Committee on Municipalities and Regional Government,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J10', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J10', 'note': 'homepage'}]","[{'name': 'Joint Committee on Municipalities and Regional Government', 'end_date': '', 'start_date': ''}, {'name': 'Joint Municipalities and Regional Government', 'end_date': '', 'start_date': ''}, {'name': 'Joint Municipalities and Regional Government Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:26.186035+00:00,2024-10-09 23:57:49.132936+00:00,{},ocd-organization/07e9bb1e-1d5d-4da8-b534-7b012ac65142,House Committee on Intergovernmental Affairs,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/Hxx', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/Hxx', 'note': 'homepage'}]","[{'name': 'House Committee on Intergovernmental Affairs', 'end_date': '', 'start_date': ''}, {'name': 'House Intergovernmental Affairs', 'end_date': '', 'start_date': ''}, {'name': 'House Intergovernmental Affairs Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:24.973310+00:00,2024-10-09 23:57:49.797478+00:00,{},ocd-organization/7f00b9d7-107f-4ca5-9b61-3c935cd62813,House Committee on Post Audit and Oversight,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/H46', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/H46', 'note': 'homepage'}, {'url': 'https://malegislature.gov/Committees/House/H46', 'note': ''}]","[{'name': 'House Committee on Post Audit and Oversight', 'end_date': '', 'start_date': ''}, {'name': 'House Post Audit and Oversight', 'end_date': '', 'start_date': ''}, {'name': 'House Post Audit and Oversight Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:25.276002+00:00,2024-12-24 13:33:01.315448+00:00,{},ocd-organization/8af73091-2fe8-4c42-a72b-c0a525aec698,House Committee on Ways and Means,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/H34', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/H34', 'note': 'homepage'}]","[{'name': 'House Committee on Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'House Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'House Ways and Means Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:16.518205+00:00,2024-10-09 23:57:50.152017+00:00,{},ocd-organization/ddf76f62-1b0b-4295-8696-78e5dbff277e,Joint Committee on Public Service,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J23', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J23', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J23', 'note': 'homepage'}]","[{'name': 'Joint Committee on Public Service', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Service', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Service Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:24.016150+00:00,2024-10-09 23:57:50.395945+00:00,{},ocd-organization/bdfc3c28-b84d-4ad0-9fb3-46b363e92d84,Joint Committee on Election Laws,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J15', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J15', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J15', 'note': 'homepage'}, {'url': 'https://malegislature.gov/Committees/Joint/J15', 'note': ''}]","[{'name': 'Joint Committee on Election Laws', 'end_date': '', 'start_date': ''}, {'name': 'Joint Election Laws', 'end_date': '', 'start_date': ''}, {'name': 'Joint Election Laws Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:16.197040+00:00,2024-10-09 23:57:50.621111+00:00,{},ocd-organization/c6be923e-df4d-4756-b5a1-21d29000fe58,Joint Committee on Elder Affairs,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J44', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J44', 'note': 'homepage'}]","[{'name': 'Joint Committee on Elder Affairs', 'end_date': '', 'start_date': ''}, {'name': 'Joint Elder Affairs', 'end_date': '', 'start_date': ''}, {'name': 'Joint Elder Affairs Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:22.467800+00:00,2024-10-09 23:57:50.696569+00:00,{},ocd-organization/a8a1326a-4d4c-487a-b2b1-a61336c7fa88,Joint Committee on Consumer Protection and Professional Licensure,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J17', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J17', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J17', 'note': 'homepage'}]","[{'name': 'Joint Committee on Consumer Protection and Professional Licensure', 'end_date': '', 'start_date': ''}, {'name': 'Joint Consumer Protection and Professional Licensure', 'end_date': '', 'start_date': ''}, {'name': 'Joint Consumer Protection and Professional Licensure Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:23.715828+00:00,2024-10-09 23:57:50.847640+00:00,{},ocd-organization/18cb61d6-00f5-40ca-966d-4121796acecf,Joint Committee on Transportation,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J27', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J27', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J27', 'note': 'homepage'}]","[{'name': 'Joint Committee on Transportation', 'end_date': '', 'start_date': ''}, {'name': 'Joint Transportation', 'end_date': '', 'start_date': ''}, {'name': 'Joint Transportation Committee', 'end_date': '', 'start_date': ''}]"
