id,bill_id,identifier
dda511fe-85a3-4b75-bc2a-793c47299303,ocd-bill/eca50556-aee4-4c51-8e54-0f647a6b5dc3,ocd-bill-ma-194th-h489
5eb0d506-46f1-4d3c-83b4-f30b0913338d,ocd-bill/c0c276cf-3dcd-4824-95f3-41267ba5bf17,ocd-bill-ma-194th-sd2773
b59b50b8-6dd3-4275-8436-c1a6ff424dc6,ocd-bill/14a7101b-95cb-47b5-8064-ecce1c4d663c,ocd-bill-ma-194th-hd4283
b610a8c4-f284-4371-b08f-6ede36a6fd91,ocd-bill/1d346da7-1fec-480c-9e9a-5631dcb54aa1,ocd-bill-ma-194th-hd4457
e8933c43-73bf-42ac-80f6-50a8383e2c43,ocd-bill/c56ec734-b5b3-41c4-881d-6143794723d3,ocd-bill-ma-194th-sd3012
1aab918d-ded0-4e9b-95d6-9bcd46552d81,ocd-bill/80a612d5-7529-47b1-add2-158762c318a9,ocd-bill-ma-194th-sd2759
67bcae25-2911-41ff-9ca6-3567ec35ba0b,ocd-bill/39b248d4-f653-4a9b-a2d7-35bd62c8b3f9,ocd-bill-ma-194th-hd4293
80e9c46e-66d7-4d9d-a990-3eb4a3516ce6,ocd-bill/909a80b3-cd8d-4268-82d0-0df287d068fd,ocd-bill-ma-194th-hd4489
eb40cd56-63f6-4dee-8aae-d90a2400fc36,ocd-bill/22b129e1-c66b-4eda-98bd-cb64a8abb2e7,ocd-bill-ma-194th-hd4473
c71f9855-da2c-413c-8091-ce3783c67592,ocd-bill/d8defa58-a4f9-4028-acee-1a3e6cfa27b0,ocd-bill-ma-194th-h3906
d3355408-0d4c-41d4-bb86-33e3fd5143ed,ocd-bill/cb6cb6e0-f74f-4115-a19e-a5943c3f98d5,ocd-bill-ma-194th-sd2957
3341cf4c-5ffb-497e-b665-586aec80aabc,ocd-bill/4357f5f6-9a90-41e1-a2f3-5a76b961c9e9,ocd-bill-ma-194th-s2535
93a09853-eee7-4978-a7b0-9ce307a8632b,ocd-bill/4536ac57-2b7a-477d-872a-81b860aed5e1,ocd-bill-ma-194th-hd4436
8204def0-53bb-4d12-b4fe-66d275460f52,ocd-bill/3e8667fe-dec3-41ce-be10-1cf710f2b319,ocd-bill-ma-194th-h1499
756bfda3-47f5-4ff6-9e61-56e5797cf3d7,ocd-bill/b7e2ff49-12be-4dbc-b958-6bad9ba2d133,ocd-bill-ma-194th-h4056
0e7fa5cd-99a4-42ea-9e11-850a7e4c9d40,ocd-bill/488b817b-a780-47f6-ace0-7d7abe421645,ocd-bill-ma-194th-hd4328
47fde7b5-24b2-465a-be26-cdb347ad6c77,ocd-bill/55607ff7-51be-4aab-9a36-46824f224f57,ocd-bill-ma-194th-h5085
f34dc360-755d-4993-a2d4-e97a172d434f,ocd-bill/06228c9c-b1b4-4dca-8567-0408eacd8f45,ocd-bill-ma-194th-sd2963
436498ef-b9ea-48e4-98b2-6bfd37e22e8d,ocd-bill/990cea95-915f-4fa8-b2d1-a2bc83d6d5a5,ocd-bill-ma-194th-sd2765
4e2abfde-39fc-4826-bfed-898779cf7d8b,ocd-bill/2853832e-957e-4b09-a6c2-38ef6fccb2d1,ocd-bill-ma-194th-hd4396
21691ac9-ca28-40c3-bad1-74cec2ad136b,ocd-bill/d7a39633-8a5e-4696-b9ce-180b96a1b0e3,ocd-bill-ma-194th-h2266
f147417a-73f2-4b5d-9f11-75e56555b5d4,ocd-bill/9684683d-acd1-400b-97e0-0c824b20f0b5,ocd-bill-ma-194th-hd4587
27e6bfbc-13c3-479b-8c16-6a19401b5118,ocd-bill/8ba8cac9-154c-4a0a-8a09-9341d2d517f8,ocd-bill-ma-194th-sd2745
176f5783-387c-4216-8a5b-76fc78a0d731,ocd-bill/d2d0b4e6-5ccd-421e-b324-0411b2a5b841,ocd-bill-ma-194th-h3477
f8a9bd58-be27-4aa1-bb11-b0d0a0049c3e,ocd-bill/462e128b-a9c6-434a-a4bd-5cad3ff29bac,ocd-bill-ma-194th-hd4531
8547caf2-e2fc-42ce-9c2f-fa79e8629bb5,ocd-bill/c55cf085-976d-4a6e-9995-570da2dcd62b,ocd-bill-ma-194th-h1108
708c8cf8-03a6-4f21-bb50-c338bb443e61,ocd-bill/19bf5718-a6a8-4b6d-9277-634d702aab19,ocd-bill-ma-194th-sd2858
865021bb-22bf-4e6b-887c-7305b5996803,ocd-bill/86e531f5-a1fb-4330-bcd3-b45dd866d43b,ocd-bill-ma-194th-hd4640
b5f8dd9d-9943-4e04-a77c-4f6687cf3993,ocd-bill/9baf63e6-10f5-4167-9906-3a8da6c8f757,ocd-bill-ma-194th-h2620
eabcedd8-d3da-45f0-b88e-e203b0090127,ocd-bill/3c3ec965-9fa2-44ee-aed2-631edf57fb8b,ocd-bill-ma-194th-hd4652
5c19fec5-6cc3-4297-9f5a-0ce4ed17db42,ocd-bill/94d76386-2394-4e72-add8-32e9383444ca,ocd-bill-ma-194th-h3913
b5214646-6f69-4ef7-bf18-9b0ba2b132a2,ocd-bill/872df2f4-583b-4970-9295-a6bcb466e5a7,ocd-bill-ma-194th-sd2925
8b567019-d561-4541-a78a-d1e60f07267d,ocd-bill/3e0a3506-4041-4920-8fb5-a327913bfb22,ocd-bill-ma-194th-sd2813
fdf5705f-4c1b-4d3e-8f97-dce74aa951aa,ocd-bill/773c9a56-999b-4540-a619-7f5f56c4c883,ocd-bill-ma-194th-sd2735
e0d25134-0101-4fab-b192-efff6b8b7211,ocd-bill/dc862ffc-d8a0-491e-8f8f-b0d6f6ed547e,ocd-bill-ma-194th-h4543
6b69aba5-c039-47d2-acdd-2f1bd5096ed9,ocd-bill/2c2dd808-a7ca-4229-b533-e6f1837cad5e,ocd-bill-ma-194th-sd2861
1e58c030-4118-4599-b8b3-2e3b4ab7e42a,ocd-bill/f7285c1e-4b3b-4d9e-8f1a-9e19cf5a0228,ocd-bill-ma-194th-sd2726
47624373-c209-4313-92b8-90afa36b46de,ocd-bill/9cf15327-e812-4e1a-b0c6-b45981a480ab,ocd-bill-ma-194th-s2736
5d714fe6-afb6-44e7-b965-b7bf4fc41268,ocd-bill/cafa16db-5624-4006-ae11-b492734e3adb,ocd-bill-ma-194th-hd4705
8581ba7c-7f71-4b7d-babd-b4f7a62deb39,ocd-bill/57691b84-27dd-4299-8965-a7d0a4639728,ocd-bill-ma-194th-h4007
a46d8538-2d27-46ee-b3a0-c052fd146c1b,ocd-bill/e65bfab0-b164-4ea1-945e-8fa643dbe06f,ocd-bill-ma-194th-sd2787
68dde026-1395-43f2-b3f5-e8a5719d1934,ocd-bill/5cba03d6-4aba-4fc4-90e8-24ed25295716,ocd-bill-ma-194th-sd2895
cbfab04d-dbaa-44b2-b831-0e8dbbe676dc,ocd-bill/c4dce9ac-dc38-4dc9-a913-fe20ace8b87e,ocd-bill-ma-194th-sd3041
ae410d55-64c9-4a05-9f62-7793cdb8d11c,ocd-bill/11b4f5cd-a43c-4dc7-a8c0-16a2fc745256,ocd-bill-ma-194th-sd2799
09548658-12c1-4f4c-a3dd-04e24cd5c653,ocd-bill/62604ed7-5671-4bdf-af40-a10a7afe0254,ocd-bill-ma-194th-sd2783
7a1a5b1c-5c0e-42ae-8550-781e44495913,ocd-bill/ee143625-784e-40ae-b5c4-ae5ce9208086,ocd-bill-ma-194th-hd4682
26675071-a8c7-4a92-a401-f03209d60455,ocd-bill/22836d5b-531f-43f0-af95-a3bd3dd1bd6c,ocd-bill-ma-194th-h4689
16a71e52-65f1-457e-8dc8-26fa9adbe2cf,ocd-bill/eee46789-20bf-4cec-b764-40d56a77b38c,ocd-bill-ma-194th-s2532
0cf277d5-310f-450e-b2d8-af72d4b1e686,ocd-bill/43c80fda-e9a1-40eb-a64d-9525ae8cda4b,ocd-bill-ma-194th-h3930
dbe0d2d9-73f6-457d-841d-952e1f760861,ocd-bill/44a53853-fa1a-4ca9-8f34-0bf1ece02312,ocd-bill-ma-194th-sd2878
e48429ff-eca3-4e12-844c-8ba5202a34ea,ocd-bill/949f7e3d-f6eb-45b2-8285-560efec0e2da,ocd-bill-ma-194th-hd4675
26352e97-4f72-4703-a155-fb6d5cc83979,ocd-bill/f41447ac-d9c9-4556-bfe3-af739ed6f265,ocd-bill-ma-194th-h3979
f37f807d-2323-441f-9922-f4582e9c518c,ocd-bill/592b1553-76b8-49a0-a7b3-13bbf26a7ac1,ocd-bill-ma-194th-hd4286
b7707a59-e4ba-446d-92e3-e32e2b206aca,ocd-bill/fb240f43-18d2-4624-aaed-39e4d30d0527,ocd-bill-ma-194th-h1951
cdef3e44-88c2-4dda-b2fc-09c7117bdd0d,ocd-bill/9ea53135-19c0-4e25-ab64-39dec581d9cf,ocd-bill-ma-194th-hd4680
bfb34212-a06a-4118-8bce-f7f58f047f53,ocd-bill/6ef56cbc-2b6a-4659-8c35-f8c845d3517d,ocd-bill-ma-194th-hd4320
100da626-2c8d-4a4d-9ebb-f7b41f11906a,ocd-bill/f1c91caa-3458-4c2e-bb08-137657cd07e5,ocd-bill-ma-194th-h899
5d7b574e-6826-474d-96ec-b5da0e972d22,ocd-bill/dfb616b8-f251-452b-8ffe-e9e66f02f403,ocd-bill-ma-194th-hd4375
fc65fcff-55fc-4a02-bdd4-7a019a3525e4,ocd-bill/4ef35e9a-73d2-4d2f-86c2-a9483c518131,ocd-bill-ma-194th-s2574
