id,bill_id,related_bill_id,identifier,legislative_session,relation_type
6fa46864-6a9d-4a44-b3ed-0e1f0e797698,ocd-bill/cbc492f5-7595-480d-ab4b-068bc494f5f7,ocd-bill/ae09d68b-dc24-4037-be65-48a54e34d592,HD 4838,194th,replaces
f56fc9c2-5bcf-4247-b8d3-17414b7c7f8e,ocd-bill/40f72755-e1e2-4dfc-9df1-d077ea86839b,,SD 2962,194th,replaces
0edb5fa5-34dc-4ed1-816c-bb01c83fa7a9,ocd-bill/e56b55d8-0656-4446-b633-332ef8ad17f8,ocd-bill/34df03a0-6d49-49d0-bd2a-111705a7b400,SD 3004,194th,replaces
8eec0ae0-4e38-4694-8153-42e5ffbe05ce,ocd-bill/68343cf6-d6ef-4d31-a37e-6a2deb4d953a,,SD 16,194th,replaces
46389c4f-6777-4cba-a422-de3104fc5f2b,ocd-bill/958592de-01db-480e-97cb-649ebc3b241a,ocd-bill/5d5145d8-67b0-4024-83b2-3cbfb71808ef,HD 4935,194th,replaces
06640fc2-e239-4457-bfe2-7f947a9ad865,ocd-bill/91279233-21d2-42cc-a74b-fd237e927df2,ocd-bill/360ef32f-338f-470c-8d9d-5ca0d21ca663,HD 4948,194th,replaces
7ad61e99-fcd5-4f43-a69e-ee66b3397e85,ocd-bill/02439982-9d5e-43a3-bcff-4e017e657322,ocd-bill/92a29a8d-2b7c-4d60-acf0-6e4296b32f21,HD 4795,194th,replaces
b4e7d9e9-6bc0-49cd-a5e7-1b47435c9331,ocd-bill/567dfdd7-b431-43f5-8891-e87a56f319c2,ocd-bill/1f2a9acd-8dc8-45dd-9e4b-5ab9998f4d18,HD 4787,194th,replaces
5c692cb2-8569-416a-8de7-8ba18712d2ee,ocd-bill/6f9561aa-90c3-4ee7-9501-2baeca3fa1b6,ocd-bill/e26ee231-497e-4b56-b20a-59eb5c9f9243,HD 4947,194th,replaces
aa370963-543f-43f9-a569-e6d40b8de122,ocd-bill/49547e1b-e295-489f-af3e-52d35339d65f,ocd-bill/0fc5a204-7e57-4a0c-a290-572240c33c10,HD 4922,194th,replaces
8e0c2f3c-e0a6-4cce-b078-c05cad4aed4b,ocd-bill/cca64c25-3be4-45a6-861d-0a875895d5e2,ocd-bill/60a5a3bb-d493-4577-ae87-aa7b70596925,HD 4934,194th,replaces
bb3aeb07-3aec-4235-8562-c68182942f81,ocd-bill/00cb7a41-7b79-4c71-9a63-24b71e1a2cee,ocd-bill/64b17133-ea3c-42ea-8d4f-f51d7bc1aaf5,HD 4933,194th,replaces
f9ca0c28-51d8-403a-b397-00cb4e539582,ocd-bill/33037145-c586-4976-be91-2b483ab84272,ocd-bill/d3ceed77-4e92-4268-bd75-6d4ea7b04671,HD 4932,194th,replaces
902f037a-0fe8-4862-b857-224a786cb129,ocd-bill/4f8a92a0-918b-452c-82eb-b3d8063300a3,ocd-bill/63fa9be0-c1a2-4367-bdcc-5c369bc7e5d0,SD 2660,194th,replaces
1755fd2f-eec3-476a-a1c5-4e79eda1cdd9,ocd-bill/e242b012-7013-4c2a-9906-a6bcefea6d6d,ocd-bill/805fa54f-4f5b-4fd8-a32f-e18d9b24abef,HD 4995,194th,replaces
