id,bill_id,note,date,classification,extras
6cc071af-1b95-4dbd-a90d-2277a84bdfa7,ocd-bill/17b7bc3a-5005-4ba6-a0a4-fee520fed69d,Bill Text,,,{}
acee08be-247d-4f2b-8a42-d27a45c269db,ocd-bill/8e34bbac-e5e1-45d2-ad9b-fad5e3298824,Bill Text,,,{}
617d0760-c9c0-4a39-8c9a-d1ca5263515b,ocd-bill/92787b93-221f-418e-b0be-cabcc038bb5c,Bill Text,,,{}
caf9e6bf-99cc-4f48-aab4-efbc601e1af5,ocd-bill/f8f9739d-6939-46ec-a2e0-a615e08e38d2,Bill Text,,,{}
172708d9-5420-4045-8c74-6deb9b7223f3,ocd-bill/d6431d96-cfcb-46d5-88a2-429ed4478592,Bill Text,,,{}
c6c3c47d-4a5a-46f7-a358-6d2bf213260e,ocd-bill/b9e98ece-0407-4515-9fab-51185c632f4a,Bill Text,,,{}
9303c433-2f87-494e-8b89-7ac7f4e8c8f1,ocd-bill/7c4c8145-d9d9-4026-8aea-b66b82f2e4ce,Bill Text,,,{}
84de41b9-0e8c-45e2-9894-0a0c737554a6,ocd-bill/d68cc002-03c0-4dc8-b442-21eecbbe7cd5,Bill Text,,,{}
0a5a3200-d9c8-4c26-a907-7c23f476dbeb,ocd-bill/ee316787-08fb-4a07-8a01-5b2e5f6dc900,Bill Text,,,{}
d70927be-dfad-4fcd-bb17-fcc676c81095,ocd-bill/c3930a56-7c82-4162-8aec-993cb1cbf35a,Bill Text,,,{}
6101bbe4-4cd4-49f5-b227-bdf382c7b0dc,ocd-bill/9b6fad77-b39a-4af2-9e61-378a97e65bac,Bill Text,,,{}
3aec4d7d-9cab-4bc2-a8e7-a7ba35d49301,ocd-bill/4e5cf9a1-c4f1-4674-9d85-4e7a3b3f0296,Bill Text,,,{}
afe1a9d5-bc22-403c-957b-b79ff489112c,ocd-bill/557ec243-f918-448c-8af8-407e43ee1ecb,Bill Text,,,{}
399f0731-54b7-4ba6-9934-86db54e5cd07,ocd-bill/4ea6a2f2-8460-418a-ae01-2d904f59746a,Bill Text,,,{}
69aa0ff7-cabf-42f5-a117-fda1b646d8c3,ocd-bill/e5accba4-d979-4fd4-b9af-0337166429aa,Bill Text,,,{}
d36aec0d-d772-4c70-9923-0961cf1428b4,ocd-bill/5c5ebca5-4177-47a6-89a8-533ef2af2ab1,Bill Text,,,{}
43503540-e805-48b5-99e3-f1a02f19bb64,ocd-bill/af1fa029-2be9-4198-b0a7-6f8d4e33a79b,Bill Text,,,{}
39037576-cae0-497b-9d6f-5c5ee4e1864f,ocd-bill/a7a8367b-36d7-41f3-ae2e-fffee519cefd,Bill Text,,,{}
4a3e33fc-3a37-4f45-8326-522f8a6544ad,ocd-bill/6a84ffda-6f22-461f-93b4-3856af7fa104,Bill Text,,,{}
98232277-a9b0-4817-ba6d-d87f61b7c06d,ocd-bill/47eeade6-0a72-4a0d-bb2b-e3d55d106f0d,Bill Text,,,{}
bca1d5e8-5a88-4ed5-9125-ad30a24623ef,ocd-bill/bf58f1aa-2084-4b69-912e-af0df3934fb1,Bill Text,,,{}
64ead878-a130-46ed-ab80-1c258d5857eb,ocd-bill/f2d86c85-3742-4d51-af23-a0c57955d5aa,Bill Text,,,{}
d59009ad-4d32-458f-942e-6634930856be,ocd-bill/446dca75-2fe6-4830-b026-a47fd76ac8c5,Bill Text,,,{}
8aec7370-d3e1-4408-9c69-810b5e2c16fb,ocd-bill/97acc1bb-9786-44fc-9d14-b5dc45fe7f62,Bill Text,,,{}
ab3fb2d2-3ebd-400c-b4dd-7bd71368acbb,ocd-bill/a739254a-4158-4d4f-a2e3-7872b1059957,Bill Text,,,{}
e365b6fc-e33c-4ff7-8203-7f070f7fd008,ocd-bill/7e706eeb-7f95-4148-939b-c77043300427,Bill Text,,,{}
78b307e1-763f-490e-9949-f1586a54372b,ocd-bill/9288b978-0a79-4adf-82c8-ab57f68d1882,Bill Text,,,{}
19fb0f75-d737-434e-b512-0e459dcb9ef0,ocd-bill/fdea541e-e2b0-4fa2-aaf2-4c7d253f2063,Bill Text,,,{}
b17d5ecc-06f3-4336-ab32-b2fb00d4d780,ocd-bill/6cc10eb3-cbdc-40f5-984d-b0a8b2af2b0e,Bill Text,,,{}
62c998ba-1019-43ce-9093-32fcd0e81cc3,ocd-bill/8644477e-6100-4b86-8fff-b4a28c9a6a16,Bill Text,,,{}
d225bb97-ff93-4426-ab03-e8bd15ef9a57,ocd-bill/1a25b7b9-9f9a-4597-8c08-82efc2d542c9,Bill Text,,,{}
82d26f92-e26d-450f-a4d7-ec5572ab5370,ocd-bill/d474efc0-62b3-493d-9f29-f5c2cef21251,Bill Text,,,{}
734ad4af-f4c9-4869-9f13-5e198cf26b00,ocd-bill/1f0ca3e7-f974-499f-b542-07654dfec17d,Bill Text,,,{}
653d5ce8-f748-460c-8a0b-eca37e4f9936,ocd-bill/a6ce3dc1-336e-4b2b-b9b4-8a408cb1cc99,Bill Text,,,{}
f8b1720b-0938-4a5c-aff0-2e15abe1de48,ocd-bill/20ba926c-c84a-47e0-ae09-7c99962048ba,Bill Text,,,{}
fee1bfc4-0584-48d8-9c51-0ccf91ec060f,ocd-bill/39cc4757-78b4-4a3e-b26c-c5032e1caf1f,Bill Text,,,{}
bdc9f717-2038-4fb7-911f-ffdcde0d5838,ocd-bill/39cc45b8-fa70-4ba4-beb3-ddf26bbc32a1,Bill Text,,,{}
063e952c-312a-4028-8a60-e65bf8bd65c7,ocd-bill/d42acf40-1995-4cd1-a87e-b4100c7b8575,Bill Text,,,{}
3ee1ffb9-b795-4be3-9600-3c730eab54a9,ocd-bill/a8cf6c1e-675f-4d12-be0f-67f9fce0971a,Bill Text,,,{}
7b0aae07-cbe7-4e34-b50a-533cf977a18c,ocd-bill/c4fefc2f-1683-4ccf-b02e-4f5346d16415,Bill Text,,,{}
a1a0bd26-3311-4de6-a7c5-faf840d35c01,ocd-bill/ddd8ba54-9caf-417e-a353-898870946e42,Bill Text,,,{}
a10e5a49-f1ad-4e7d-974e-7941829d5d1a,ocd-bill/a312f2ad-8c64-403d-a01f-b886efaf5bf7,Bill Text,,,{}
64209938-26ed-4298-b7bb-4ab8148e1c1e,ocd-bill/967b0ca7-5cbf-4236-8924-a484db8ade52,Bill Text,,,{}
d70fbec7-8f06-40e0-844e-d0d61f06c678,ocd-bill/0397f157-f2d2-4633-8664-74d4b000a8e8,Bill Text,,,{}
70a06b77-3a5c-424f-9975-0a25af4460fd,ocd-bill/f8ceb1af-2b5b-4d43-aff8-8bc5e95f22f5,Bill Text,,,{}
