id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/a0f7ced5-599f-4681-8a96-d6cc97a32d6f,S 1821,An Act relative to disability or death caused by post-traumatic stress disorder,['bill'],[],194th,Massachusetts,upper
ocd-bill/eac4b00b-fccf-4d00-aa5f-0c27849afd6d,HD 2770,An Act allowing for increased investment in health care providers,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/f83ea1b0-b74a-4b31-b469-58bd417ad170,HD 4365,An Act relative to senior tax exemption,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/8ecace89-6a0b-45b9-922e-be7c5e1472f7,SD 1345,Worcester County Sheriff's Office Q2 2024 Population Report,['proposed bill'],[],194th,Massachusetts,upper
ocd-bill/0b130942-0981-40ec-95ef-2a5f7decf542,HD 3159,An Act ban the use of tire-derived materials in playgrounds and playing fields in Massachusetts,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/d7f9bab9-4100-4f4b-9c99-80ba5759d899,HD 3020,An Act relative to harm reduction and racial justice,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/b5c8adee-7443-46d0-8905-03599277343d,HD 2963,An Act to protect Native American heritage,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/2bd1cfed-a11b-483d-9d58-3cf6719a4f9c,H 34,An Act relative to parental and family leave equity for members of public retirement systems,['bill'],[],194th,Massachusetts,lower
ocd-bill/364810d9-26c7-4fc5-9f6b-f52339892535,H 21,An Act relative to Chapter 32 Section 8 and modifications of retirement allowances,['bill'],[],194th,Massachusetts,lower
ocd-bill/e837e977-e70d-4194-977b-6ff60cd017d5,S 383,An Act to create a facilities loan program for private special education schools,['bill'],[],194th,Massachusetts,upper
ocd-bill/780f9372-9a5d-46b5-8282-02e47d5986af,HD 2847,An Act relative to carbon emission reduction and advanced nuclear energy generation,['proposed bill'],[],194th,Massachusetts,lower
ocd-bill/ca73155a-d540-41a8-a9f0-8a2940ba3b97,H 29,An Act relative to the interest charged on refund buybacks,['bill'],[],194th,Massachusetts,lower
ocd-bill/5da2c5b6-5498-4552-93f0-48c0946a4b5b,H 20,An Act relative to post retirement earnings,['bill'],[],194th,Massachusetts,lower
ocd-bill/17c4a34d-3ad2-412e-9afa-c5b38a6315e4,H 19,An Act relative to pension forfeiture,['bill'],[],194th,Massachusetts,lower
ocd-bill/180a791b-872d-4c6c-97a8-aa4ab061a5c8,H 22,An Act providing for statement of financial interests flexibility,['bill'],[],194th,Massachusetts,lower
ocd-bill/fc7182eb-4fec-4591-97e7-7fb5891df8c9,H 3705,An Act to improve the efficiency and cost-effectiveness of the MBTA,['bill'],[],194th,Massachusetts,lower
ocd-bill/7e35b8fb-ca0a-45c0-9ab4-f55b45ee3366,SD 2629,MSA FY24 Commissary Items (Appendix B),['proposed bill'],[],194th,Massachusetts,upper
ocd-bill/4d39db1d-2de2-4c28-a014-785504269a03,SD 2514,An Act relative to roadway excavation quality assurance,['proposed bill'],[],194th,Massachusetts,upper
ocd-bill/23e2bddf-945d-4cba-aacc-843dd7a84415,H 1416,An Act to advance health equity,['bill'],[],194th,Massachusetts,lower
ocd-bill/6f135a70-b446-4d2e-bf8e-71d44a2accce,H 2626,An Act permitting familial searching and partial DNA matches in investigating certain unsolved crimes,['bill'],[],194th,Massachusetts,lower
ocd-bill/b27a615d-bb19-4280-96d7-78325d37b1dc,H 3422,An Act establishing a jail and prison construction moratorium,['bill'],[],194th,Massachusetts,lower
ocd-bill/29db0d1f-794c-4ed7-918d-497e8a0df684,S 498,An Act relative to Election Day registration at polling places,['bill'],[],194th,Massachusetts,upper
ocd-bill/aaab7b56-88fa-4669-97eb-96500de0a673,S 966,An Act relative to funding housing and mitigating investor real estate in seasonal communities,['bill'],[],194th,Massachusetts,upper
ocd-bill/28dab73a-4305-45aa-96a1-5655bdeef02c,H 3733,Resolve directing the Massachusetts Department of Transportation to study the feasibility of extending the orange line,['bill'],[],194th,Massachusetts,lower
ocd-bill/e8edf714-c6cf-4b40-81d6-624f10b23982,S 1735,An Act relative to the establishment of the PFAS Research and Development Public Safety Fund,['bill'],[],194th,Massachusetts,upper
ocd-bill/7615cfb4-5979-4844-aea3-d8330c32fe32,H 1093,An Act prohibiting certain insurance liens,['bill'],[],194th,Massachusetts,lower
ocd-bill/bd2e46cf-7d6f-40a5-a957-2961a8825b39,H 1281,An Act relative to the uniform special deposit,['bill'],[],194th,Massachusetts,lower
ocd-bill/211d12d0-8e7a-43ce-bbee-8d76b146f1e2,H 1477,An Act enabling local options for tenant protections,['bill'],[],194th,Massachusetts,lower
ocd-bill/5aac1ff3-e513-4051-84ac-1c97a8a69bb8,S 302,"An Act addressing economic, health and social harms caused by sports betting",['bill'],[],194th,Massachusetts,upper
