created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-23 02:05:25.886134+00:00,2026-02-01 22:50:12.684321+00:00,{},ocd-organization/8f174cc8-cccc-46a2-b8ed-fdd942f96ccb,Rules,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/H33', 'note': 'Committee Details Page'}, {'url': 'https://malegislature.gov/Committees/Detail/TH33', 'note': ''}]","[{'url': 'https://malegislature.gov/Committees/Detail/H33', 'note': 'homepage'}, {'url': 'https://malegislature.gov/Committees/Detail/TH33', 'note': ''}]","[{'name': 'House Committee on Rules', 'end_date': '', 'start_date': ''}, {'name': 'House Rules', 'end_date': '', 'start_date': ''}, {'name': 'House Rules Committee', 'end_date': '', 'start_date': ''}]"
2025-04-24 02:59:10.895417+00:00,2025-04-30 02:55:14.623268+00:00,{},ocd-organization/67602c0f-f408-4622-9caa-7a743bba8d51,Legislative Black and Latino Caucus,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://www.mbllc.org', 'note': ''}]","[{'url': 'https://www.mbllc.org', 'note': ''}]","[{'name': 'Joint Committee on Legislative Black and Latino Caucus', 'end_date': '', 'start_date': ''}, {'name': 'Joint Legislative Black and Latino Caucus', 'end_date': '', 'start_date': ''}, {'name': 'Joint Legislative Black and Latino Caucus Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:25.276002+00:00,2026-02-01 22:50:12.846081+00:00,{},ocd-organization/8af73091-2fe8-4c42-a72b-c0a525aec698,Ways and Means,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/H34', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/H34', 'note': 'homepage'}]","[{'name': 'House Committee on Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'House Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'House Ways and Means Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:20.566669+00:00,2026-02-01 22:50:13.924586+00:00,{},ocd-organization/fc37afe6-4ccb-4b3f-a169-d3e11061296b,Ways and Means,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J39', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J39', 'note': 'homepage'}]","[{'name': 'Joint Committee on Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'Joint Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'Joint Ways and Means Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:17.147721+00:00,2026-02-01 22:50:14.346700+00:00,{},ocd-organization/a46f83cb-7a71-42f2-8ef0-b976a668e8e6,Higher Education,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J29', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J29', 'note': 'homepage'}]","[{'name': 'Joint Committee on Higher Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Higher Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Higher Education Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:24.016150+00:00,2025-03-07 20:53:18.459702+00:00,{},ocd-organization/bdfc3c28-b84d-4ad0-9fb3-46b363e92d84,Election Laws,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J15', 'note': 'Committee Details Page'}, {'url': 'https://malegislature.gov/Committees/Joint/J15', 'note': ''}]","[{'url': 'https://malegislature.gov/Committees/Detail/J15', 'note': 'homepage'}, {'url': 'https://malegislature.gov/Committees/Joint/J15', 'note': ''}]","[{'name': 'Joint Committee on Election Laws', 'end_date': '', 'start_date': ''}, {'name': 'Joint Election Laws', 'end_date': '', 'start_date': ''}, {'name': 'Joint Election Laws Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:20.884540+00:00,2025-03-07 20:53:18.953010+00:00,{},ocd-organization/936b7a4b-0e57-401c-bbff-20295aa2ad85,Public Health,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J16', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J16', 'note': 'homepage'}]","[{'name': 'Joint Committee on Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Health Committee', 'end_date': '', 'start_date': ''}]"
2017-08-20 09:55:24.115402+00:00,2017-08-20 09:55:24.115420+00:00,{},ocd-organization/61a1385f-f512-4d4b-826f-3118c9a775bf,Office of the Governor,,ocd-jurisdiction/country:us/state:ma/government,executive,[],[],[]
2017-08-20 09:55:24.123826+00:00,2017-08-20 09:55:24.123840+00:00,{},ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,Massachusetts General Court,,ocd-jurisdiction/country:us/state:ma/government,legislature,[],[],[]
2023-02-23 02:05:19.957330+00:00,2026-02-01 22:50:14.498576+00:00,{},ocd-organization/4a29c954-d3ef-43e6-99da-47805329fe12,Public Safety and Homeland Security,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J22', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J22', 'note': 'homepage'}]","[{'name': 'Joint Committee on Public Safety and Homeland Security', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Safety and Homeland Security', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Safety and Homeland Security Committee', 'end_date': '', 'start_date': ''}]"
