id,vote_event_id,option,value
d6a5a641-0a16-448a-a34a-f5960a1d199c,ocd-vote/577b9462-6cf0-4ead-a645-803a007e1b83,no,126
ab086e8d-f395-4152-a6d9-d28ef1f3b5ea,ocd-vote/577b9462-6cf0-4ead-a645-803a007e1b83,yes,30
ed51ebbc-8210-4e9b-96d7-165e27573be8,ocd-vote/8e457751-3c63-4300-9394-b7283670acc6,no,23
2f976335-5fc5-4a2f-861e-debb478ecac1,ocd-vote/8e457751-3c63-4300-9394-b7283670acc6,yes,128
bf021438-544c-4013-be98-5a56e30f94ed,ocd-vote/3daf2470-756c-41eb-becc-7b495bce76cd,no,23
043f1e59-1077-4c45-b7ee-2c3288ccdc29,ocd-vote/3daf2470-756c-41eb-becc-7b495bce76cd,yes,136
63d79695-7555-40df-ba86-837f3b061df7,ocd-vote/590bd269-c0fa-483c-876b-07bcabc36614,no,131
9be191ef-5b7a-4448-b026-722e7c579055,ocd-vote/590bd269-c0fa-483c-876b-07bcabc36614,yes,23
b8daa11f-75f4-490e-bb2d-01ef43848460,ocd-vote/7eba794b-fcf9-43d5-bc71-ed831f3f934d,no,127
084c52bf-1129-42c8-9b67-0b1adc0fcc85,ocd-vote/7eba794b-fcf9-43d5-bc71-ed831f3f934d,yes,24
08de0b3c-b490-4e8b-8376-24e0eb327fa7,ocd-vote/2bf0e08d-918e-4dab-8044-e6f900b559d6,no,24
74ac669b-6756-4a97-9784-02cff395a1be,ocd-vote/2bf0e08d-918e-4dab-8044-e6f900b559d6,yes,131
6a3c339f-a8a1-4118-a252-dcca699d4805,ocd-vote/e7450a90-2d41-4c10-a972-409d6e026523,no,3
d4cc18b1-2ed6-4660-b651-530bd4f64829,ocd-vote/e7450a90-2d41-4c10-a972-409d6e026523,yes,154
222286f0-7185-43d0-8efe-c1aa98b2adb0,ocd-vote/4b4b7dd4-bcc6-4ce6-bf22-a0d5b51bb0fa,no,2
e382821b-f6cc-4fd2-bcd5-1ff080cc3cea,ocd-vote/4b4b7dd4-bcc6-4ce6-bf22-a0d5b51bb0fa,yes,154
9097c057-16ae-449a-9788-c22971ef91b1,ocd-vote/43013928-fc03-4198-a4ed-a850ea82c1f9,no,22
370acab4-61dc-4054-9751-aec7fabbeb56,ocd-vote/43013928-fc03-4198-a4ed-a850ea82c1f9,yes,133
52794c3b-fdc4-4d51-b075-328c739c7fd4,ocd-vote/6482952a-0d33-43b0-942d-535f5c39f4c8,no,0
cb5580b5-9bea-48b1-a316-fe5ec727351f,ocd-vote/6482952a-0d33-43b0-942d-535f5c39f4c8,yes,153
d8e7adab-6f96-4637-84d2-ecdce30e4fb6,ocd-vote/903af3c6-b289-4135-ac54-950aaad633d2,no,0
7608e985-0711-48e5-afaa-1baaedde5631,ocd-vote/903af3c6-b289-4135-ac54-950aaad633d2,yes,158
379cc1da-4a65-48f2-815f-d4fd09c3a881,ocd-vote/39758615-fe50-4924-add5-e3eaedd79f6f,no,29
76abbe63-5068-4fa1-8ed9-9500209e410c,ocd-vote/39758615-fe50-4924-add5-e3eaedd79f6f,yes,130
9233c9ef-c834-4fa1-8717-bfae6819dcb6,ocd-vote/aeab9d6f-be14-411b-91c5-3fed26b19d52,no,0
770439c4-fb79-4f18-93c4-5eee1ba9d575,ocd-vote/aeab9d6f-be14-411b-91c5-3fed26b19d52,yes,156
f4212771-cca6-48d4-9244-d1e21673ae01,ocd-vote/897c11a6-4603-436c-b4b4-b16cfe98d703,no,0
3ddee8ea-c427-4c0a-a040-f75d03b82517,ocd-vote/897c11a6-4603-436c-b4b4-b16cfe98d703,yes,156
b9eaf490-3470-493b-b854-dd496b59a19a,ocd-vote/9eb36569-a17d-42b3-9fa4-3da4a1714e56,no,128
1138a154-b120-47a1-aa5d-da0f84a1abc8,ocd-vote/9eb36569-a17d-42b3-9fa4-3da4a1714e56,yes,23
2c359081-cfa8-4d71-bd5d-43bf31008223,ocd-vote/69c4ab57-738d-45b1-844e-cb81eb533171,no,15
9b5a7ef0-ee1f-4540-8fc4-cf0a1192c1d5,ocd-vote/69c4ab57-738d-45b1-844e-cb81eb533171,yes,140
7a79a8d4-d52a-428e-8237-6b12788e74a6,ocd-vote/9f2a2a04-bb19-45c2-b926-18a1b56bdaa3,no,0
b4053b01-2b69-4c16-8c47-b7915444534c,ocd-vote/9f2a2a04-bb19-45c2-b926-18a1b56bdaa3,yes,160
7d98fa3b-5130-4442-b47b-d7ce77f5c1ea,ocd-vote/65211f19-ceb8-4760-8812-06cc4b72bd64,no,0
a7ee5aec-b6dd-401b-8c70-8103cdfbc75b,ocd-vote/65211f19-ceb8-4760-8812-06cc4b72bd64,yes,160
dc8de256-a2de-46de-9aaa-906b628cc089,ocd-vote/c2fccdc0-6e24-4d94-8754-ac5112109cc6,no,129
dbf4d75d-bf70-4cfa-90b0-01722f405e15,ocd-vote/c2fccdc0-6e24-4d94-8754-ac5112109cc6,yes,27
2db1efd7-83ab-4c30-bc0b-2b58107945ca,ocd-vote/ede72fa9-8b18-4b57-a1bc-b2187bfcd9e3,no,1
573d76ec-cd13-479e-856a-325fa5347fb7,ocd-vote/ede72fa9-8b18-4b57-a1bc-b2187bfcd9e3,yes,159
3548631c-84c4-43ec-9ba2-8b84f0114fdf,ocd-vote/9d547297-abd1-4105-a449-70573984be1c,no,2
8099a915-0b45-4bae-8a33-cd5748db56ce,ocd-vote/9d547297-abd1-4105-a449-70573984be1c,yes,153
ec3dbb52-90d9-4ede-a2d7-43b3433faf8a,ocd-vote/754c684c-e974-41bf-881e-18089444b662,no,0
30c9bed6-61ac-4c1a-987d-d62d90888dc6,ocd-vote/754c684c-e974-41bf-881e-18089444b662,yes,155
b3b04dec-fb54-4d86-b275-349e4b97224b,ocd-vote/0ca42bbc-013d-44dd-a0ac-ffa172deeb17,no,8
1acafb7d-fa30-4893-a571-23fd694be14b,ocd-vote/0ca42bbc-013d-44dd-a0ac-ffa172deeb17,yes,147
22b970a2-8419-41d3-b272-ebfbc6650da0,ocd-vote/dfc9a191-6bcf-4167-8532-5f53cf524bc6,no,0
a4fbc321-f8ea-4b83-b70d-a2c57228f407,ocd-vote/dfc9a191-6bcf-4167-8532-5f53cf524bc6,yes,158
e321df92-a530-4638-ba0d-59ec13696568,ocd-vote/e5bef553-89a4-4a30-980e-99c1209a32d9,no,7
386582c8-d06e-43f2-a477-d8dd88b94dd9,ocd-vote/e5bef553-89a4-4a30-980e-99c1209a32d9,yes,148
217243f1-52d3-445f-a043-bf59c5dcc426,ocd-vote/02ed7302-edc0-44fd-bc2c-372d53738d7b,no,3
08d4b1d0-f9f2-4527-843c-d62d4f6b76eb,ocd-vote/02ed7302-edc0-44fd-bc2c-372d53738d7b,yes,154
a1cd2d41-2d4f-4839-8e94-8846a08879b7,ocd-vote/ef910ebd-2ab8-4a11-99fa-b984812800ee,no,128
5b8ba620-91d8-44f1-975c-586b9d7b83bd,ocd-vote/ef910ebd-2ab8-4a11-99fa-b984812800ee,yes,23
