id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/eba0c5b1-7f40-4d17-8d33-adfbfcf94c89,,H. 57 On adoption of amendment #6,['passage'],2025-02-06T19:35:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/b4790909-d969-444a-91f8-2fb715ab1490,,H. 57 On adoption of amendment #8,['passage'],2025-02-06T19:48:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/e03b0a00-317f-4e6e-b51f-8038811942a4,,H. 57 On adoption of amendment #16,['passage'],2025-02-06T20:07:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/2742d4f3-fb1c-43ab-b280-3b390b6f4aab,,H. 57 On adoption of amendment #18,['passage'],2025-02-06T20:25:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/85760cee-85c6-4c34-b283-6119a383c417,,"H. 57 ""Shall the decis ion of the Chair stand?'",['passage'],2025-02-06T20:41:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/42988f3e-bd56-4ad1-ad38-83e0add722eb,,"H. 57 ""Shall the decis ion of the Chair stand?'",['passage'],2025-02-06T21:11:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/03c9919a-30cc-4bd7-9194-b1bd216b82bd,,"H. 57 On adoption of amendment #27, changed",['passage'],2025-02-06T21:41:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/654d6d13-ec6f-45db-9ff4-3c976eeb0831,,"H. 57 On adoption of amendment #24, changed",['passage'],2025-02-06T21:47:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/8ea635c6-9400-4a03-a22f-41391e32cc18,,"H. 57 On adoption of amendment #15, changed",['passage'],2025-02-06T21:54:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/77972a59-e206-4cc6-af78-35f02429db6a,,"H. 57 On adoption of amendment #9, changed",['passage'],2025-02-06T22:00:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/10446b16-ef59-45eb-a77e-e86523bd446f,,H. 57 On Engrossment,['passage'],2025-02-06T22:03:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/7091ff84-8633-4200-ad82-a0a062ac69b0,,"Acceptance of the report, as amended,",[],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/91c59e69-eb00-4b96-9dbf-e3b4122a08d3,,Adoption of the amendment,['amendment'],2025-02-12,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/04aca224-3fe4-4d61-b17c-0dc0cc3f29c4,,Adoption of the amendment,['amendment'],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/dcac6ff8-cace-45f8-ba84-04ab929d5652,,Massachusetts,194th
ocd-vote/a033cc52-1cc4-47b9-8871-dddeca79cc2c,,"Acceptance of the report, as amended,",[],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/64b58a50-adde-486a-a0e7-e4eb7c9a498a,,Massachusetts,194th
ocd-vote/6591bd89-c660-411e-a2a9-9ddf60bfa3f7,,Adoption of the amendment,['amendment'],2025-02-12,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/64b58a50-adde-486a-a0e7-e4eb7c9a498a,,Massachusetts,194th
ocd-vote/fbf3613e-7dca-4526-922a-57765edb4904,,Passing the bill to be engrossed,['passage'],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
